LOC,LLOC,SLOC,Multi,N1,N2,McCabe_max,McCabe_sum,path
173,17,24,126,1,2,2.0,6.0,src\python_rucaptcha\re_captcha.py
115,17,24,73,1,2,2.0,6.0,src\python_rucaptcha\lemin_captcha.py
114,17,21,74,1,2,2.0,6.0,src\python_rucaptcha\tencent.py
197,30,60,115,4,6,3.0,11.0,src\python_rucaptcha\rotate_captcha.py
106,17,22,66,1,2,2.0,6.0,src\python_rucaptcha\mt_captcha.py
112,17,32,61,1,2,2.0,6.0,src\python_rucaptcha\key_captcha.py
140,17,22,98,1,2,2.0,6.0,src\python_rucaptcha\capy_puzzle.py
123,14,29,78,0,0,2.0,5.0,src\python_rucaptcha\datadome_captcha.py
115,17,30,67,1,2,2.0,6.0,src\python_rucaptcha\amazon_waf.py
119,17,24,76,1,2,2.0,6.0,src\python_rucaptcha\cutcaptcha.py
113,17,22,72,1,2,2.0,6.0,src\python_rucaptcha\hcaptcha.py
112,17,24,69,1,2,2.0,6.0,src\python_rucaptcha\turnstile.py
110,47,92,0,2,4,,,docs\conf.py
