file,name,complexity
c:/src/pylint-intervention/data/after/pygubu\src_slash_pygubu_slash_widgets_slash_dockfw_slash_framework.py,DockingFramework.drag_motion,19
c:/src/pylint-intervention/data/after/pygubu\src_slash_pygubu_slash_widgets_slash_dockfw_slash_framework.py,DockingFramework.get_targets_below_mouse,18
c:/src/pylint-intervention/data/after/pygubu\src_slash_pygubu_slash_widgets_slash_dockfw_slash_framework.py,DockingFramework.execute_move,11
c:/src/pylint-intervention/data/after/pygubu\src_slash_pygubu_slash_widgets_slash_dockfw_slash_framework.py,DockingFramework,9
c:/src/pylint-intervention/data/after/pygubu\src_slash_pygubu_slash_widgets_slash_dockfw_slash_framework.py,DockingFramework._handle_nootbook,7
c:/src/pylint-intervention/data/after/pygubu\src_slash_pygubu_slash_widgets_slash_dockfw_slash_framework.py,DockingFramework.drag_end,6
c:/src/pylint-intervention/data/after/pygubu\src_slash_pygubu_slash_widgets_slash_dockfw_slash_framework.py,tab_below_mouse,2
c:/src/pylint-intervention/data/after/pygubu\src_slash_pygubu_slash_widgets_slash_dockfw_slash_framework.py,DockingFramework.drag_start,2
c:/src/pylint-intervention/data/after/pygubu\src_slash_pygubu_slash_widgets_slash_dockfw_slash_framework.py,DockingFramework._handle_cursor_moving,2
c:/src/pylint-intervention/data/after/pygubu\src_slash_pygubu_slash_widgets_slash_dockfw_slash_framework.py,IDockFrame,1
c:/src/pylint-intervention/data/after/pygubu\src_slash_pygubu_slash_widgets_slash_dockfw_slash_framework.py,IDockPane,1
c:/src/pylint-intervention/data/after/pygubu\src_slash_pygubu_slash_widgets_slash_dockfw_slash_framework.py,IDockWidget,1
c:/src/pylint-intervention/data/after/pygubu\src_slash_pygubu_slash_widgets_slash_dockfw_slash_framework.py,DockingFramework.init_binding,1
