LOC,LLOC,SLOC,Comments,Single comments,Multi,Blank,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,McCabe_mean,McCabe_sum,McCabe_max,path
34,12,32,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,0,,mpcontribs-portal\mpcontribs\users\als_beamline\scripts\__main__.py
392,208,315,21,20,0,57,12,52,34,65,64,99,339.4424153519907,594.0,7.5,4455.0,247.5,0.198,4.333333333333333,78,30.0,mpcontribs-api\mpcontribs\api\projects\document.py
166,107,127,20,19,0,20,12,53,35,67,65,102,346.5993341005035,614.2815169289023,7.584905660377358,4659.267354819221,258.8481863788456,0.20476050564296744,23.0,69,24.0,mpcontribs-io\mpcontribs\io\archie\mpfile.py
693,345,593,20,22,0,78,10,131,100,172,141,272,954.5976941502795,1941.957967852472,6.564885496183206,12748.731697352105,708.2628720751169,0.6473193226174907,4.444444444444445,120,14.0,mpcontribs-api\mpcontribs\api\core.py
282,162,208,48,48,5,21,12,42,34,60,54,94,269.4968817653618,540.9594252033661,8.571428571428571,4636.795073171709,257.5997262873172,0.18031980840112202,6.25,25,14.0,mpcontribs-portal\mpcontribs\users\redox_thermo_csp\pre_submission.py
93,61,68,8,6,0,19,5,10,6,11,15,17,44.82892142331043,66.41714012534482,2.75,182.64713534469826,10.147063074705459,0.02213904670844827,3.0,15,5.0,mpcontribs-api\mpcontribs\api\attachments\document.py
327,207,257,20,17,0,53,13,67,41,74,80,115,454.5336920965049,727.0217309120466,7.17910447761194,5219.364963711856,289.9647202062142,0.24234057697068218,4.076923076923077,53,9.0,mpcontribs-api\mpcontribs\api\contributions\document.py
304,203,236,6,14,15,39,12,52,35,65,64,100,339.4424153519907,600.0,7.5,4500.0,250.0,0.2,2.7142857142857144,76,17.0,mpcontribs-io\mpcontribs\io\core\mpfile.py
17,12,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,0,,mpcontribs-api\gunicorn.conf.py
206,156,166,6,10,0,30,11,44,30,51,55,81,278.26873902505133,468.29013679549746,6.375,2985.3496220712964,165.8527567817387,0.15609671226516583,4.25,68,18.0,mpcontribs-io\mpcontribs\io\core\components\tdata.py
273,157,217,22,21,0,35,11,83,52,97,94,149,567.182020606805,976.633738899968,6.427710843373494,6277.519273531721,348.7510707517623,0.3255445796333227,49.0,49,49.0,mpcontribs-portal\mpcontribs\users\dilute_solute_diffusion\pre_submission.py
321,215,251,5,3,0,67,9,42,27,46,51,73,255.00665676968876,414.0870499639192,4.928571428571429,2040.8576033936017,113.3809779663112,0.13802901665463974,4.0,60,16.0,mpcontribs-api\mpcontribs\api\notebooks\views.py
15,12,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,0,,mpcontribs-portal\gunicorn.conf.py
78,44,66,3,3,0,9,6,19,11,22,25,33,96.22039775975506,153.24725426256592,3.473684210526316,532.332567438387,29.57403152435483,0.05108241808752197,11.0,11,11.0,mpcontribs-portal\mpcontribs\users\qmcdb\main\views.py
