LOC,LLOC,SLOC,Comments,Single comments,Multi,Blank,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,McCabe_max,McCabe_sum,path
124,70,79,9,5,15,25,10,31,21,39,41,60,186.7993665708668,321.453120277085,6.290322580645161,2022.0438210977927,112.33576783876626,0.10715104009236168,12,28,alexBot\disabled\bots.py
421,278,350,23,21,0,50,12,83,59,103,95,162,572.1478228104486,1064.3166085496136,7.445783132530121,7924.670651610377,440.2594806450209,0.3547722028498712,14,96,alexBot\cogs\reminders.py
226,153,191,7,7,0,28,12,45,27,52,57,79,290.15293934348927,460.7983111190146,6.933333333333334,3194.868290425168,177.49268280139825,0.15359943703967155,23,42,alexBot\cogs\fun.py
142,90,104,5,5,0,33,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,4,17,bot.py
142,106,115,1,6,0,21,6,17,11,22,23,33,84.99664330558272,149.27754454988144,3.8823529411764706,579.5481141348338,32.19711745193521,0.04975918151662715,9,33,alexBot\cogs\utils.py
160,99,122,3,0,6,32,8,25,19,35,33,54,140.0964047443681,272.3972824453565,5.6,1525.4247816939962,84.74582120522201,0.09079909414845216,10,29,alexBot\cogs\flight.py
282,167,235,20,15,0,32,12,88,56,105,100,161,611.4495324487361,1069.6608465537308,7.159090909090909,7657.7992423733,425.4332912429611,0.35655361551791026,20,68,alexBot\cogs\mudae.py
177,124,152,7,8,0,17,6,42,31,55,48,86,241.98710676103488,480.3067750620195,3.9285714285714284,1886.9194734579337,104.82885963655187,0.1601022583540065,14,51,alexBot\cogs\configs.py
130,73,97,6,7,0,26,5,21,11,25,26,36,103.84830635279079,169.21582985307933,2.9761904761904763,503.61854122940275,27.97880784607793,0.05640527661769311,14,36,alexBot\cogs\errors.py
264,185,223,19,8,0,33,12,67,55,94,79,149,449.4475257693246,939.2633314783884,8.417910447761194,7906.634611250912,439.25747840282844,0.3130877771594628,19,67,alexBot\cogs\voiceStats.py
372,239,307,24,17,0,48,9,65,54,100,74,154,419.9832328598303,956.2558183068585,6.923076923076923,6620.232588278252,367.79069934879175,0.31875193943561947,31,91,alexBot\cogs\smartHome.py
291,202,232,18,15,0,44,10,67,48,92,77,140,439.64725670954437,877.3501156972862,6.865671641791045,6023.59780926495,334.64432273694166,0.29245003856576207,15,81,alexBot\cogs\voiceTTS.py
409,287,357,13,13,0,39,11,145,117,220,156,337,1079.1405658571757,2455.1805477565777,8.344827586206897,20488.05836403765,1138.2254646687584,0.8183935159188592,18,145,alexBot\cogs\voiceCommands.py
51,33,34,3,3,4,10,3,8,6,12,11,18,28.75488750216347,62.26976913547136,2.25,140.10698055481055,7.78372114193392,0.020756589711823786,8,16,alexBot\cogs\voicePrivVC.py
187,127,158,4,4,0,25,10,35,32,54,45,86,212.74418654194744,472.299366284352,7.714285714285714,3643.4522541935726,202.41401412186514,0.157433122094784,26,44,alexBot\cogs\sugery.py
