file,name,complexity
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw.canvas_rotate,30
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw.circle_cuadrant,17
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw.circle,10
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw.canvas_scale,7
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw.bresenham_line,7
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw,5
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw._get_ink,5
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw.rectangle,4
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw.is_convex,4
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw.rounded_rectangle,3
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw.triangle_filled,3
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw._sort_verticesby_y,3
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw.convex_poly,3
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw.canvas_new,2
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw._line,2
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw._fill_bottom_flat_tri,2
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw._fill_top_flat_tri,2
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw._tripoly,2
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw.__init__,1
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw._tk_call,1
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw.canvas_blank,1
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw._draw_rect_filled,1
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw.triangle,1
c:/src/pylint-intervention/data/before/pygubu\src_slash_pygubu_slash_theming_slash_photodraw.py,TkPhotoDraw._cross_prod,1
