LOC,LLOC,SLOC,Comments,Single comments,Multi,Blank,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,McCabe_mean,McCabe_max,McCabe_sum,path,commit
70,43,39,0,7,7,17,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,1.4,3.0,21.0,src\pygubu\component\plugin_engine.py,15e971da0675c5b2d67227301c697698505bc76e
253,29,248,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,src\pygubu\plugins\awesometkinter\designer\properties.py,15e971da0675c5b2d67227301c697698505bc76e
58,27,36,9,10,0,12,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,1.5714285714285714,3.0,11.0,src\pygubu\plugins\tkintertable\__init__.py,15e971da0675c5b2d67227301c697698505bc76e
24,16,16,0,0,0,8,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,1.4,2.0,7.0,src\pygubu\plugins\tksheet\__init__.py,15e971da0675c5b2d67227301c697698505bc76e
58,25,46,1,2,0,10,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,2.0,3.0,12.0,src\pygubu\plugins\awesometkinter\__init__.py,15e971da0675c5b2d67227301c697698505bc76e
627,419,506,59,55,9,57,16,305,373,736,321,1109,2581.062956897326,9234.010301218634,19.304918032786887,178261.81197893547,9903.433998829749,3.0780034337395445,4.875,30.0,117.0,src\pygubu\theming\photodraw.py,15e971da0675c5b2d67227301c697698505bc76e
405,294,325,16,25,12,43,12,63,40,76,75,116,419.58818518914865,722.5429680975221,7.238095238095238,5229.834816705875,290.5463787058819,0.24084765603250738,3.392857142857143,9.0,95.0,src\pygubu\widgets\dockfw\dockframe.py,15e971da0675c5b2d67227301c697698505bc76e
183,26,177,0,0,0,6,2,8,6,12,10,18,26.0,59.794705707972525,1.5,89.69205856195879,4.9828921423310435,0.019931568569324175,4.333333333333333,5.0,13.0,src\pygubu\plugins\tkcalendar\basecalendar.py,15e971da0675c5b2d67227301c697698505bc76e
175,13,172,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,src\pygubu\plugins\tkmt\designer\properties.py,15e971da0675c5b2d67227301c697698505bc76e
259,115,225,0,0,0,34,3,26,26,52,29,78,126.96632017383187,378.92251761995067,3.0,1136.767552859852,63.15375293665844,0.12630750587331688,2.5384615384615383,4.0,33.0,src\pygubu\plugins\ttkwidgets\font.py,15e971da0675c5b2d67227301c697698505bc76e
775,360,624,23,19,0,132,8,48,56,111,56,167,292.0782000346155,969.82827198362,9.25,8970.911515848486,498.38397310269363,0.32327609066120666,1.7169811320754718,9.0,91.0,src\pygubu\plugins\ttk\ttkstdwidgets.py,15e971da0675c5b2d67227301c697698505bc76e
251,174,213,9,9,0,29,7,65,47,94,72,141,411.1053923012527,869.959425203366,5.061538461538461,4403.333090644729,244.62961614692938,0.2899864750677887,7.2727272727272725,26.0,80.0,src\pygubu\widgets\dockfw\framework.py,15e971da0675c5b2d67227301c697698505bc76e
393,274,280,19,26,28,59,10,58,39,66,68,105,372.9821786662728,639.1835983312857,5.689655172413793,3636.7342663676595,202.04079257598107,0.2130611994437619,2.8125,15.0,90.0,src\pygubu\builder.py,15e971da0675c5b2d67227301c697698505bc76e
38,27,27,0,1,0,10,2,6,3,6,8,9,17.509775004326936,27.0,1.0,27.0,1.5,0.009,2.3333333333333335,3.0,14.0,src\pygubu\plugins\tkmt\__init__.py,15e971da0675c5b2d67227301c697698505bc76e
102,34,94,0,0,0,8,3,10,6,12,13,18,37.974168451037094,66.60791492653966,1.8,119.8942468677714,6.660791492653967,0.022202638308846556,3.3333333333333335,4.0,10.0,src\pygubu\plugins\ttkwidgets\itemscanvas.py,15e971da0675c5b2d67227301c697698505bc76e
