LOC,LLOC,SLOC,Comments,Single comments,Multi,Blank,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,McCabe_max,McCabe_sum,path
347,257,290,13,12,0,45,8,62,47,83,70,130,393.1601712439863,796.8067922028457,5.354838709677419,4266.77185502169,237.04288083453832,0.2656022640676152,17,119,src\rinoh\font\type1.py
1138,782,813,14,13,78,234,15,209,128,241,224,369,1669.4414175390323,2880.913966239256,8.648325358851675,24915.081310896916,1384.1711839387176,0.9603046554130853,26,365,src\rinoh\style.py
443,203,368,24,22,0,53,11,68,43,86,79,129,452.0012210100334,813.1877165148463,6.955882352941177,5656.438086934152,314.2465603852307,0.27106257217161545,20,95,src\rinoh\font\opentype\required.py
469,316,343,16,16,0,110,8,57,38,75,65,113,356.4747308073903,680.5275628722153,5.2631578947368425,3581.724015116923,198.98466750649573,0.2268425209574051,12,146,src\rinoh\reference.py
614,457,471,9,18,4,121,13,102,60,112,115,172,728.6931012169267,1177.4242887624325,7.137254901960785,8403.577276657363,466.8654042587424,0.39247476292081085,16,223,src\rinoh\attribute.py
342,215,298,6,6,0,38,8,34,22,41,42,63,196.97373660251156,339.7159976350619,4.823529411764706,1638.6301062397104,91.03500590220614,0.11323866587835398,42,58,src\rinoh\__main__.py
422,250,300,12,9,30,83,13,71,55,106,84,161,484.7377618206666,1029.1631050673802,9.704225352112676,9987.230695653872,554.8461497585484,0.3430543683557934,18,118,src\rinoh\image.py
201,125,149,28,19,0,33,9,50,39,76,59,115,310.722134501717,676.5039506766118,6.84,4627.287022628025,257.07150125711246,0.22550131689220393,12,71,src\rinoh\font\opentype\cff.py
473,353,353,19,11,0,109,17,105,80,151,122,231,774.4826476561987,1601.0003249770268,12.223809523809523,19570.32302007632,1087.2401677820178,0.5336667749923423,14,191,src\rinoh\backend\pdf\filter.py
656,455,492,33,27,20,117,16,180,121,240,196,361,1412.5335573393415,2748.91025372559,10.666666666666666,29321.709373072958,1628.9838540596088,0.91630341790853,36,265,src\rinoh\table.py
3060,1640,1640,316,341,674,405,24,888,627,1203,912,1830,8807.480389336202,17994.188725921478,16.256756756756758,292527.14915248024,16251.508286248902,5.998062908640493,34,573,src\rinoh\backend\pdf\xobject\purepng.py
902,577,641,11,12,72,177,16,159,110,205,175,315,1226.7483898902126,2347.131500227184,10.314465408805031,24209.406669009946,1344.9670371672191,0.7823771667423947,21,239,src\rinoh\flowable.py
3971,18,3954,86,4,0,13,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456034,5,5,src\rinoh\font\mapping.py
1285,863,934,29,33,86,232,15,186,138,256,201,394,1460.8868978002217,3014.514366324498,10.32258064516129,31117.567652381913,1728.7537584656618,1.004838122108166,27,364,src\rinoh\paragraph.py
553,466,470,19,18,6,59,14,149,109,207,163,316,1128.9590784576685,2322.1980967370205,9.724832214765101,22582.98686021438,1254.6103811230212,0.7740660322456735,17,180,src\rinoh\backend\pdf\reader.py
