LOC,LLOC,SLOC,Comments,Single comments,Multi,Blank,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,McCabe_mean,McCabe_max,McCabe_sum,path,commit
240,115,212,0,0,0,28,1,7,6,12,8,18,19.651484454403228,54.0,0.8571428571428571,46.285714285714285,2.571428571428571,0.018,2.0,7,20,python\g1\operations\cores\g1\operations\cores\pod_cmds.py,25339076bbc610e2c7ff220a618144d26e1506dd
551,308,439,20,17,14,81,14,89,58,114,103,172,629.6432442648158,1150.0780906755135,8.96629213483146,10311.93613886584,572.8853410481022,0.38335936355850453,2.9615384615384617,12,77,python\g1\operations\cores\g1\operations\cores\alerts.py,25339076bbc610e2c7ff220a618144d26e1506dd
131,70,116,0,1,0,14,1,8,7,14,9,21,24.0,66.56842503028857,0.875,58.2473719015025,3.2359651056390275,0.022189475010096188,4.2,10,21,shipyard2\shipyard2\releases\apps.py,25339076bbc610e2c7ff220a618144d26e1506dd
720,360,465,26,29,67,159,6,68,37,75,74,112,429.45724820935004,695.4587769504425,3.3088235294117645,2301.150364909552,127.84168693941956,0.23181959231681415,2.3389830508474576,17,138,python\g1\third-party\capnp\capnp\objects.py,25339076bbc610e2c7ff220a618144d26e1506dd
485,231,309,35,24,64,88,7,28,16,31,35,47,154.25742227201613,241.07630179641342,3.875,934.170669461102,51.89837052561678,0.08035876726547114,2.1785714285714284,13,61,python\g1\apps\g1\apps\parameters.py,25339076bbc610e2c7ff220a618144d26e1506dd
73,34,48,0,1,7,17,4,10,6,12,14,18,41.219280948873624,68.53238859703687,2.4,164.4777326328885,9.13765181293825,0.022844129532345624,3.0,3,3,python\g1\bases\g1\bases\dataclasses.py,25339076bbc610e2c7ff220a618144d26e1506dd
247,177,226,2,3,0,18,2,40,34,68,42,102,214.8771237954945,550.0163771234336,1.7,935.027841109837,51.94599117276872,0.18333879237447787,6.428571428571429,17,45,python\g1\containers\g1\containers\apps.py,25339076bbc610e2c7ff220a618144d26e1506dd
546,179,432,51,27,12,75,9,65,49,97,74,146,419.9832328598303,906.5801913818268,6.7153846153846155,6088.03466981796,338.22414832322,0.3021933971272756,2.0,14,46,python\g1\containers\g1\containers\builders.py,25339076bbc610e2c7ff220a618144d26e1506dd
278,139,255,2,2,0,21,2,10,8,15,12,23,35.219280948873624,82.4541375165866,1.5,123.6812062748799,6.871178126382216,0.027484712505528867,2.857142857142857,7,20,python\g1\operations\cores\g1\operations\cores\token_cmds.py,25339076bbc610e2c7ff220a618144d26e1506dd
297,212,218,18,18,7,54,10,37,35,64,47,99,225.9690554771448,549.9042963160862,8.64864864864865,4755.929049220205,264.2182805122336,0.18330143210536207,3.0526315789473686,17,58,python\g1\http\clients\g1\http\clients\recvfiles.py,25339076bbc610e2c7ff220a618144d26e1506dd
326,143,217,11,11,32,66,5,34,21,41,39,62,184.58337707694838,327.6949375694594,3.014705882352941,987.903855907929,54.883547550440504,0.10923164585648647,13.0,25,78,python\g1\messaging\g1\messaging\wiredata\jsons.py,25339076bbc610e2c7ff220a618144d26e1506dd
53,41,43,0,1,0,9,1,7,6,12,8,18,19.651484454403228,54.0,0.8571428571428571,46.285714285714285,2.571428571428571,0.018,3.0,7,9,python\g1\operations\cores\g1\operations\cores\apps.py,25339076bbc610e2c7ff220a618144d26e1506dd
710,454,525,73,74,13,98,17,112,87,158,129,245,831.9106195717073,1717.7506775786972,11.991071428571429,20597.67107132313,1144.3150595179516,0.572583559192899,3.204081632653061,21,157,python\g1\http\servers\g1\http\servers\wsgi.py,25339076bbc610e2c7ff220a618144d26e1506dd
399,210,269,34,29,0,101,6,23,19,28,29,47,119.55169999363824,228.32510677099592,3.652173913043478,833.8829986418981,46.32683325788323,0.0761083689236653,1.7872340425531914,11,84,python\g1\third-party\capnp\capnp\dynamics.py,25339076bbc610e2c7ff220a618144d26e1506dd
456,266,309,19,18,0,129,6,15,9,15,21,24,74.11313393845472,105.41561814669026,3.0,316.2468544400708,17.569269691115046,0.03513853938223009,2.310344827586207,16,67,python\g1\third-party\capnp\capnp\schemas.py,25339076bbc610e2c7ff220a618144d26e1506dd
