alert,state,file_name,modified_McCabe_max_diff,h1_diff,McCabe_sum_diff,Single comments_diff,vocabulary_diff,difficulty_diff,calculated_length_diff,LLOC_diff,Multi_diff,bugs_diff,N2_diff,Comments_diff,McCabe_max_diff,volume_diff,length_diff,LOC_diff,SLOC_diff,N1_diff,Blank_diff,h2_diff,time_diff,effort_diff
Simplify-boolean-expression,removed,1,-1.0,0.0,14.0,1.0,13.0,,,73.0,0.0,,14.0,0.0,-1.0,,21.0,43.0,26.0,7.0,16.0,13.0,,
broad-exception-caught,decrease,2,-7.0,0.0,-7.0,-1.0,-6.0,,,-15.0,0.0,,-9.0,-1.0,0.0,,-14.0,-31.0,-27.0,-5.0,-3.0,-6.0,,
broad-exception-caught,removed,227,-3.1880341880341883,-1.1238532110091743,-11.480582524271844,-5.803571428571429,-19.775229357798164,0.0,0.0,-50.410714285714285,-6.196428571428571,,-25.56422018348624,-6.870535714285714,-3.145631067961165,0.0,-39.05045871559633,-96.6875,-67.81696428571429,-13.486238532110091,-16.870535714285715,-18.65137614678899,,0.0
comparison-of-constants,removed,2,23.5,1.0,43.5,-5.5,3.0,,,52.0,1.0,,10.0,-5.5,21.5,,16.5,69.5,71.5,6.5,2.5,2.0,,
line-too-long,added,4,-8.5,0.0,-1.5,2.5,-1.5,,,3.5,0.0,,-6.0,3.0,-5.0,,-9.0,17.0,12.0,-3.0,2.5,-1.5,,
line-too-long,increase,2,1.0,1.0,25.0,10.0,19.0,,,78.0,3.0,,17.0,10.0,1.0,,26.0,141.0,112.0,9.0,16.0,18.0,,
line-too-long,removed,1225,-0.9315068493150684,-0.24606462303231152,-1.392638036809816,-0.6043046357615894,-1.7290803645401822,0.0,0.0,-4.583609271523179,-0.7885572139303483,,-2.0223695111847557,-1.1067880794701987,-0.3418054338299737,0.0,-3.1212624584717608,-5.287251655629139,-2.673841059602649,-1.0911350455675228,-1.216887417218543,-1.4830157415078709,,0.0
pointless-statement,added,2,3.0,0.0,23.0,3.0,7.0,,,78.0,0.0,,9.0,3.0,3.0,,14.0,114.0,103.0,5.0,8.0,7.0,,
pointless-statement,removed,62,8.48,0.0,3.730769230769231,0.017543859649122806,-2.6363636363636362,0.0,0.0,2.4210526315789473,-4.9298245614035086,,-1.9272727272727272,-0.45614035087719296,3.980769230769231,0.0,-2.3636363636363638,12.56140350877193,13.859649122807017,-0.43636363636363634,3.6140350877192984,-2.6363636363636362,,0.0
simplifiable-condition,removed,6,1.0,0.0,8.5,-0.5,7.166666666666667,,,31.166666666666668,12.833333333333334,,10.166666666666666,-0.5,-0.16666666666666666,,16.0,63.833333333333336,46.166666666666664,5.833333333333333,5.333333333333333,7.166666666666667,,
simplifiable-if-expression,removed,51,-2.72972972972973,-1.9555555555555555,-14.227272727272727,-4.392156862745098,-27.066666666666666,,,-40.15686274509804,-37.78431372549019,,-31.844444444444445,-5.431372549019608,-3.272727272727273,,-49.044444444444444,-104.70588235294117,-44.450980392156865,-17.2,-18.07843137254902,-25.11111111111111,,
simplifiable-if-statement,added,2,-1.0,0.0,-1.0,-3.0,0.0,,,-3.0,0.0,,0.0,-4.0,-1.0,,0.0,-8.0,-3.0,0.0,-2.0,0.0,,
simplifiable-if-statement,removed,43,-4.068965517241379,-1.8372093023255813,-26.9,-30.930232558139537,-151.09302325581396,,,-289.69767441860466,-21.11627906976744,,-204.4418604651163,-40.395348837209305,-0.95,,-311.6046511627907,-474.83720930232556,-342.8837209302326,-107.16279069767442,-79.90697674418605,-149.25581395348837,,
superfluous-parens,added,19,-11.0,-2.6315789473684212,-32.36842105263158,-31.105263157894736,-49.36842105263158,,,-105.3157894736842,-21.0,,-66.73684210526316,-31.105263157894736,-12.31578947368421,,-100.15789473684211,-237.73684210526315,-157.0,-33.421052631578945,-28.63157894736842,-46.73684210526316,,
superfluous-parens,decrease,18,-11.307692307692308,-3.7777777777777777,-58.94444444444444,7.055555555555555,-71.16666666666667,,,-230.5,-38.55555555555556,,-97.77777777777777,2.3333333333333335,-10.833333333333334,,-149.88888888888889,-309.8333333333333,-244.05555555555554,-52.111111111111114,-34.27777777777778,-67.38888888888889,,
superfluous-parens,increase,4,-1.0,0.0,10.0,-1.0,17.5,,,23.0,3.0,,17.0,-1.0,-1.0,,26.0,38.5,29.5,9.0,7.0,17.5,,
superfluous-parens,removed,510,-3.0760869565217392,-0.6740890688259109,-5.851694915254237,-5.149402390438247,-10.493927125506072,0.0,0.0,-24.12350597609562,-1.2848605577689243,,-12.182186234817813,-5.426294820717131,-1.173728813559322,0.0,-18.939271255060728,-15.641434262948207,-5.900398406374502,-6.757085020242915,-3.306772908366534,-9.819838056680162,,0.0
too-many-boolean-expressions,removed,31,-7.043478260869565,-2.9310344827586206,-138.06896551724137,-73.12903225806451,-174.89655172413794,,,-273.8709677419355,-28.741935483870968,,-265.7931034482759,-80.58064516129032,-22.20689655172414,,-403.51724137931035,-458.9032258064516,-287.4193548387097,-137.72413793103448,-69.61290322580645,-171.9655172413793,,
too-many-branches,added,2,9.0,1.0,8.0,0.0,1.0,,,4.0,-2.0,,6.0,0.0,9.0,,10.0,-9.0,4.0,4.0,-11.0,0.0,,
too-many-branches,decrease,5,-2.2,-5.8,-159.2,-51.8,-308.8,,,-547.4,-74.4,,-433.2,-67.4,-2.2,,-652.2,-770.6,-564.0,-219.0,-80.4,-303.0,,
too-many-branches,removed,458,-7.494082840236686,-1.3924611973392462,-13.932279909706546,-9.279379157427938,-8.953436807095343,,,-46.92461197339246,-3.6031042128603104,,0.6629711751662971,-10.11529933481153,-7.218961625282167,,1.3614190687361418,-78.01108647450111,-55.99778270509978,0.6984478935698448,-9.130820399113082,-7.560975609756097,,
too-many-lines,removed,224,-3.860215053763441,-2.6313364055299537,-52.17910447761194,-53.17567567567568,-99.88479262672811,0.0,0.0,-254.01351351351352,-85.54504504504504,,-136.52073732718895,-54.711711711711715,-5.358208955223881,0.0,-208.33179723502303,-594.3198198198198,-375.72522522522524,-71.8110599078341,-79.87387387387388,-97.25345622119816,,0.0
too-many-nested-blocks,removed,105,-9.935064935064934,-0.8446601941747572,-8.689320388349515,-11.912621359223301,-13.980582524271844,,,-16.611650485436893,12.388349514563107,,-19.941747572815533,-14.41747572815534,-7.543689320388349,,-30.174757281553397,-11.29126213592233,-15.446601941747574,-10.233009708737864,3.679611650485437,-13.135922330097088,,
too-many-return-statements,removed,114,-6.235294117647059,-2.1160714285714284,-19.349056603773583,-37.17857142857143,-53.964285714285715,,,-231.92857142857142,-45.82142857142857,,-29.767857142857142,-42.75,-4.584905660377358,,-43.44642857142857,-487.64285714285717,-339.19642857142856,-13.678571428571429,-65.44642857142857,-51.848214285714285,,
too-many-statements,added,8,31.5,0.5,40.0,12.25,37.0,,,86.0,28.5,,56.0,13.0,20.0,,89.25,148.5,88.5,33.25,19.25,36.5,,
too-many-statements,decrease,20,-21.8125,-2.95,-74.1,19.4,-125.35,,,-301.35,-5.95,,-180.75,13.1,-10.95,,-273.3,-312.5,-309.55,-92.55,-16.4,-122.4,,
too-many-statements,increase,14,4.6,0.07142857142857142,29.428571428571427,5.571428571428571,59.285714285714285,,,108.64285714285714,19.071428571428573,,86.14285714285714,5.928571428571429,3.5,,129.92857142857142,172.57142857142858,125.5,43.785714285714285,22.428571428571427,59.214285714285715,,
too-many-statements,removed,526,-7.925414364640884,-1.5956607495069033,-15.35030549898167,-11.62934362934363,-31.86785009861933,,,-60.947876447876446,-10.608108108108109,,-44.518737672583825,-12.652509652509652,-7.704684317718941,,-67.74161735700197,-112.31274131274131,-74.14478764478764,-23.222879684418146,-15.930501930501931,-30.272189349112427,,
try-except-raise,removed,33,-0.875,1.0606060606060606,9.212121212121213,-2.212121212121212,5.787878787878788,,,6.393939393939394,-7.090909090909091,,10.666666666666666,10.969696969696969,0.7272727272727273,,15.909090909090908,13.818181818181818,24.303030303030305,5.242424242424242,-1.1818181818181819,4.7272727272727275,,
unnecessary-pass,added,2,106.0,1.0,227.0,75.0,203.0,,,526.0,7.0,,371.0,73.0,106.0,,576.0,892.0,743.0,205.0,67.0,202.0,,
unnecessary-pass,decrease,9,0.2222222222222222,-0.3333333333333333,-97.44444444444444,-40.333333333333336,-148.22222222222223,,,-274.1111111111111,-4.555555555555555,,-201.66666666666666,-45.888888888888886,-1.1111111111111112,,-315.77777777777777,-381.0,-288.55555555555554,-114.11111111111111,-47.55555555555556,-147.88888888888889,,
unnecessary-pass,increase,5,-1.0,0.0,-0.4,0.0,3.2,,,4.4,0.0,,4.0,0.0,0.0,,6.0,6.4,5.2,2.0,1.2,3.2,,
