file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeFactor,29
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,determinePtrConfigForAssignments,23
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeSpecialReference,20
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,adjustBaseTypes,17
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,checkForTypeCastNeed,17
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeNewVarStr,16
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,chooseVirtualRValOwner,14
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,adjustConditional,12
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,getTheDerefPtrMods,11
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeFuncHeaderStr,10
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,getContaineCategory,9
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeStructText,9
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,applyOwner,8
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,iterateContainerStr,8
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,variableDefaultValueString,8
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,isNumericType,8
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeVarFieldRHS_Str,8
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,getUnwrappedClassOwner,7
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,LanguageSpecificDecorations,7
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeIdentityCheck,7
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,iterateRangeFromTo,7
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,getContainerType,6
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,getCodeAllocStr,6
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeVarField_Str,6
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeIteratorOperation,5
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeComparisonStr,5
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeMain,5
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeSetBits,5
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,getReqTagString,4
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,xlateLangType,4
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,makePtrOpt,4
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,ChoosePtrDecorationForSimpleCase,4
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeRangeSpec,4
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,checkIfSpecialAssignmentFormIsNeeded,4
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeArgText,4
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,produceTypeDefs,4
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeConstructor,4
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,recodeStringFunctions,3
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeArrayIndex,3
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeNotOperator,3
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeConstructors,3
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeConstructorArgText,3
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeTemplateHeader,3
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,extraCodeForTopOfFuntion,3
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,derefPtr,2
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,getEnumStr,2
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,getContainerTypeInfo,2
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeConstField_Str,2
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,generateMainFunctionality,2
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,langStringFormatterCommand,1
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,convertToInt,1
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,determinePtrConfigForNewVars,1
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,getCodeAllocSetStr,1
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,getConstIntFieldStr,1
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeSwitchExpr,1
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeSwitchCase,1
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,adjustQuotesForChar,1
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,addSpecialCode,1
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,addGLOBALSpecialCode,1
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeIncrement,1
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeDecrement,1
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeConstructorInit,1
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeCopyConstructor,1
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeConstructorCall,1
c:/src/pylint-intervention/data/in_the_wild\versions/CodeDog/e674a70c09d735d1cceeb26d18df1fc9aef4ca6a/before/xlator_Swift.py,codeSuperConstructorCall,1
