file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/CorpBot.py/63bc266de4bada799f4581bba84f2d607c5d9703/after/Cogs_slash_XpStack.py,XpStack.checkxp,16
c:/src/pylint-intervention/data/in_the_wild\versions/CorpBot.py/63bc266de4bada799f4581bba84f2d607c5d9703/after/Cogs_slash_XpStack.py,XpStack,6
c:/src/pylint-intervention/data/in_the_wild\versions/CorpBot.py/63bc266de4bada799f4581bba84f2d607c5d9703/after/Cogs_slash_XpStack.py,XpStack.setxpcount,6
c:/src/pylint-intervention/data/in_the_wild\versions/CorpBot.py/63bc266de4bada799f4581bba84f2d607c5d9703/after/Cogs_slash_XpStack.py,XpStack._send_embed,4
c:/src/pylint-intervention/data/in_the_wild\versions/CorpBot.py/63bc266de4bada799f4581bba84f2d607c5d9703/after/Cogs_slash_XpStack.py,XpStack.clearallxp,4
c:/src/pylint-intervention/data/in_the_wild\versions/CorpBot.py/63bc266de4bada799f4581bba84f2d607c5d9703/after/Cogs_slash_XpStack.py,XpStack.clearxp,4
c:/src/pylint-intervention/data/in_the_wild\versions/CorpBot.py/63bc266de4bada799f4581bba84f2d607c5d9703/after/Cogs_slash_XpStack.py,XpStack.on_xp,4
c:/src/pylint-intervention/data/in_the_wild\versions/CorpBot.py/63bc266de4bada799f4581bba84f2d607c5d9703/after/Cogs_slash_XpStack.py,XpStack.xpcount,3
c:/src/pylint-intervention/data/in_the_wild\versions/CorpBot.py/63bc266de4bada799f4581bba84f2d607c5d9703/after/Cogs_slash_XpStack.py,setup,1
c:/src/pylint-intervention/data/in_the_wild\versions/CorpBot.py/63bc266de4bada799f4581bba84f2d607c5d9703/after/Cogs_slash_XpStack.py,XpStack.__init__,1
