file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/FuzzManager/bb12ebd389864bbba8c2c9e15ab808efae54e660/before/server_slash_server_slash_middleware.py,CheckAppPermissionsMiddleware.process_view,4
c:/src/pylint-intervention/data/in_the_wild\versions/FuzzManager/bb12ebd389864bbba8c2c9e15ab808efae54e660/before/server_slash_server_slash_middleware.py,RequireLoginMiddleware,3
c:/src/pylint-intervention/data/in_the_wild\versions/FuzzManager/bb12ebd389864bbba8c2c9e15ab808efae54e660/before/server_slash_server_slash_middleware.py,RequireLoginMiddleware.process_view,3
c:/src/pylint-intervention/data/in_the_wild\versions/FuzzManager/bb12ebd389864bbba8c2c9e15ab808efae54e660/before/server_slash_server_slash_middleware.py,CheckAppPermissionsMiddleware,3
c:/src/pylint-intervention/data/in_the_wild\versions/FuzzManager/bb12ebd389864bbba8c2c9e15ab808efae54e660/before/server_slash_server_slash_middleware.py,ExceptionLoggingMiddleware,2
c:/src/pylint-intervention/data/in_the_wild\versions/FuzzManager/bb12ebd389864bbba8c2c9e15ab808efae54e660/before/server_slash_server_slash_middleware.py,ExceptionLoggingMiddleware.__init__,1
c:/src/pylint-intervention/data/in_the_wild\versions/FuzzManager/bb12ebd389864bbba8c2c9e15ab808efae54e660/before/server_slash_server_slash_middleware.py,ExceptionLoggingMiddleware.__call__,1
c:/src/pylint-intervention/data/in_the_wild\versions/FuzzManager/bb12ebd389864bbba8c2c9e15ab808efae54e660/before/server_slash_server_slash_middleware.py,ExceptionLoggingMiddleware.process_exception,1
c:/src/pylint-intervention/data/in_the_wild\versions/FuzzManager/bb12ebd389864bbba8c2c9e15ab808efae54e660/before/server_slash_server_slash_middleware.py,RequireLoginMiddleware.__init__,1
c:/src/pylint-intervention/data/in_the_wild\versions/FuzzManager/bb12ebd389864bbba8c2c9e15ab808efae54e660/before/server_slash_server_slash_middleware.py,RequireLoginMiddleware.__call__,1
c:/src/pylint-intervention/data/in_the_wild\versions/FuzzManager/bb12ebd389864bbba8c2c9e15ab808efae54e660/before/server_slash_server_slash_middleware.py,CheckAppPermissionsMiddleware.__init__,1
c:/src/pylint-intervention/data/in_the_wild\versions/FuzzManager/bb12ebd389864bbba8c2c9e15ab808efae54e660/before/server_slash_server_slash_middleware.py,CheckAppPermissionsMiddleware.__call__,1
