file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler._download_agent_if_upgrade_available,21
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler.run_latest,17
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler.__upgrade_agent_if_permitted,11
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler._ensure_extension_telemetry_state_configured_properly,10
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler._check_agent_memory_usage,9
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,GuestAgent.__init__,9
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler._process_goal_state,8
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler.__get_vmagent_update_status,8
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler._purge_agents,8
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler._try_update_goal_state,7
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler.forward_signal,7
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler.get_latest_agent_greater_than_daemon,7
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler._evaluate_agent_health,7
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler.__get_requested_version_and_agent_family_from_last_gs,7
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,GuestAgent._load_manifest,7
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler.run,6
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler.__update_guest_agent,6
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler._report_extensions_summary,6
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler._emit_changes_in_default_configuration,6
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler._add_accept_tcp_firewall_rule_if_not_enabled,6
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler._reset_legacy_blacklisted_agents,6
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,ExtensionsSummary.__init__,5
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler,5
c:/src/pylint-intervention/data/in_the_wild\versions/WALinuxAgent/37a014b277a79341c363800d86405ab599240d7d/before/azurelinuxagent_slash_ga_slash_update.py,UpdateHandler._initialize_goal_state,5
