file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/astropy/b7502d9de9b1063ef85435c604b36340ea6038f9/after/astropy_slash_table_slash_serialize.py,_represent_mixin_as_column,18
c:/src/pylint-intervention/data/in_the_wild\versions/astropy/b7502d9de9b1063ef85435c604b36340ea6038f9/after/astropy_slash_table_slash_serialize.py,_construct_mixin_from_columns,10
c:/src/pylint-intervention/data/in_the_wild\versions/astropy/b7502d9de9b1063ef85435c604b36340ea6038f9/after/astropy_slash_table_slash_serialize.py,_construct_mixin_from_obj_attrs_and_info,7
c:/src/pylint-intervention/data/in_the_wild\versions/astropy/b7502d9de9b1063ef85435c604b36340ea6038f9/after/astropy_slash_table_slash_serialize.py,represent_mixins_as_columns,6
c:/src/pylint-intervention/data/in_the_wild\versions/astropy/b7502d9de9b1063ef85435c604b36340ea6038f9/after/astropy_slash_table_slash_serialize.py,_construct_mixins_from_columns,5
c:/src/pylint-intervention/data/in_the_wild\versions/astropy/b7502d9de9b1063ef85435c604b36340ea6038f9/after/astropy_slash_table_slash_serialize.py,SerializedColumn,4
c:/src/pylint-intervention/data/in_the_wild\versions/astropy/b7502d9de9b1063ef85435c604b36340ea6038f9/after/astropy_slash_table_slash_serialize.py,SerializedColumn.shape,3
c:/src/pylint-intervention/data/in_the_wild\versions/astropy/b7502d9de9b1063ef85435c604b36340ea6038f9/after/astropy_slash_table_slash_serialize.py,_TableLite,3
c:/src/pylint-intervention/data/in_the_wild\versions/astropy/b7502d9de9b1063ef85435c604b36340ea6038f9/after/astropy_slash_table_slash_serialize.py,_TableLite.add_column,3
c:/src/pylint-intervention/data/in_the_wild\versions/astropy/b7502d9de9b1063ef85435c604b36340ea6038f9/after/astropy_slash_table_slash_serialize.py,SerializedColumnInfo,2
c:/src/pylint-intervention/data/in_the_wild\versions/astropy/b7502d9de9b1063ef85435c604b36340ea6038f9/after/astropy_slash_table_slash_serialize.py,SerializedColumnInfo._represent_as_dict,1
c:/src/pylint-intervention/data/in_the_wild\versions/astropy/b7502d9de9b1063ef85435c604b36340ea6038f9/after/astropy_slash_table_slash_serialize.py,_TableLite.colnames,1
c:/src/pylint-intervention/data/in_the_wild\versions/astropy/b7502d9de9b1063ef85435c604b36340ea6038f9/after/astropy_slash_table_slash_serialize.py,_TableLite.itercols,1
