file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations._create_initial,8
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations._update_initial,8
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations,7
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations.begin_create,7
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations.begin_update,7
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations.begin_delete,7
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations.begin_allocate,7
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations.begin_start,7
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations.begin_stop,7
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations.begin_reset,7
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations.get,6
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations._delete_initial,6
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations._allocate_initial,6
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations._start_initial,6
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations._stop_initial,6
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations._reset_initial,6
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,build_create_request_initial,5
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations.__init__,5
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,build_update_request_initial,4
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,build_stop_request_initial,4
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,LiveEventsOperations.list,4
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,build_list_request,3
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,build_get_request,3
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,build_delete_request_initial,3
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,build_allocate_request_initial,3
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,build_start_request_initial,3
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3a56459f806388f67d367c5cd1e8896143aeff11/after/sdk_slash_media_slash_azure-mgmt-media_slash_azure_slash_mgmt_slash_media_slash_operations_slash__live_events_operations.py,build_reset_request_initial,3
