file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3da721fe4321df77bd2482299745432bc88ae36e/before/sdk_slash_cosmos_slash_azure-mgmt-cosmosdb_slash_azure_slash_mgmt_slash_cosmosdb_slash_models_slash__models_py3.py,AnalyticalStorageConfiguration,2
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3da721fe4321df77bd2482299745432bc88ae36e/before/sdk_slash_cosmos_slash_azure-mgmt-cosmosdb_slash_azure_slash_mgmt_slash_cosmosdb_slash_models_slash__models_py3.py,ApiProperties,2
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3da721fe4321df77bd2482299745432bc88ae36e/before/sdk_slash_cosmos_slash_azure-mgmt-cosmosdb_slash_azure_slash_mgmt_slash_cosmosdb_slash_models_slash__models_py3.py,ARMProxyResource,2
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3da721fe4321df77bd2482299745432bc88ae36e/before/sdk_slash_cosmos_slash_azure-mgmt-cosmosdb_slash_azure_slash_mgmt_slash_cosmosdb_slash_models_slash__models_py3.py,ARMResourceProperties,2
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3da721fe4321df77bd2482299745432bc88ae36e/before/sdk_slash_cosmos_slash_azure-mgmt-cosmosdb_slash_azure_slash_mgmt_slash_cosmosdb_slash_models_slash__models_py3.py,AuthenticationMethodLdapProperties,2
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3da721fe4321df77bd2482299745432bc88ae36e/before/sdk_slash_cosmos_slash_azure-mgmt-cosmosdb_slash_azure_slash_mgmt_slash_cosmosdb_slash_models_slash__models_py3.py,AutoscaleSettings,2
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3da721fe4321df77bd2482299745432bc88ae36e/before/sdk_slash_cosmos_slash_azure-mgmt-cosmosdb_slash_azure_slash_mgmt_slash_cosmosdb_slash_models_slash__models_py3.py,AutoscaleSettingsResource,2
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3da721fe4321df77bd2482299745432bc88ae36e/before/sdk_slash_cosmos_slash_azure-mgmt-cosmosdb_slash_azure_slash_mgmt_slash_cosmosdb_slash_models_slash__models_py3.py,AutoUpgradePolicyResource,2
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3da721fe4321df77bd2482299745432bc88ae36e/before/sdk_slash_cosmos_slash_azure-mgmt-cosmosdb_slash_azure_slash_mgmt_slash_cosmosdb_slash_models_slash__models_py3.py,DataTransferDataSourceSink,2
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/3da721fe4321df77bd2482299745432bc88ae36e/before/sdk_slash_cosmos_slash_azure-mgmt-cosmosdb_slash_azure_slash_mgmt_slash_cosmosdb_slash_models_slash__models_py3.py,AzureBlobDataTransferDataSourceSink,2
