file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/663c846e4d24166f0e76092a80989cfd08521bf2/before/sdk_slash_sql_slash_azure-mgmt-sql_slash_azure_slash_mgmt_slash_sql_slash_operations_slash__databases_operations.py,DatabasesOperations._create_or_update_initial,5
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/663c846e4d24166f0e76092a80989cfd08521bf2/before/sdk_slash_sql_slash_azure-mgmt-sql_slash_azure_slash_mgmt_slash_sql_slash_operations_slash__databases_operations.py,DatabasesOperations.begin_create_or_update,5
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/663c846e4d24166f0e76092a80989cfd08521bf2/before/sdk_slash_sql_slash_azure-mgmt-sql_slash_azure_slash_mgmt_slash_sql_slash_operations_slash__databases_operations.py,DatabasesOperations.begin_delete,5
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/663c846e4d24166f0e76092a80989cfd08521bf2/before/sdk_slash_sql_slash_azure-mgmt-sql_slash_azure_slash_mgmt_slash_sql_slash_operations_slash__databases_operations.py,DatabasesOperations.begin_update,5
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/663c846e4d24166f0e76092a80989cfd08521bf2/before/sdk_slash_sql_slash_azure-mgmt-sql_slash_azure_slash_mgmt_slash_sql_slash_operations_slash__databases_operations.py,DatabasesOperations.begin_failover,5
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/663c846e4d24166f0e76092a80989cfd08521bf2/before/sdk_slash_sql_slash_azure-mgmt-sql_slash_azure_slash_mgmt_slash_sql_slash_operations_slash__databases_operations.py,DatabasesOperations.begin_pause,5
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/663c846e4d24166f0e76092a80989cfd08521bf2/before/sdk_slash_sql_slash_azure-mgmt-sql_slash_azure_slash_mgmt_slash_sql_slash_operations_slash__databases_operations.py,DatabasesOperations.begin_resume,5
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/663c846e4d24166f0e76092a80989cfd08521bf2/before/sdk_slash_sql_slash_azure-mgmt-sql_slash_azure_slash_mgmt_slash_sql_slash_operations_slash__databases_operations.py,DatabasesOperations.begin_upgrade_data_warehouse,5
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/663c846e4d24166f0e76092a80989cfd08521bf2/before/sdk_slash_sql_slash_azure-mgmt-sql_slash_azure_slash_mgmt_slash_sql_slash_operations_slash__databases_operations.py,DatabasesOperations.begin_import_method,5
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/663c846e4d24166f0e76092a80989cfd08521bf2/before/sdk_slash_sql_slash_azure-mgmt-sql_slash_azure_slash_mgmt_slash_sql_slash_operations_slash__databases_operations.py,DatabasesOperations.begin_export,5
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/663c846e4d24166f0e76092a80989cfd08521bf2/before/sdk_slash_sql_slash_azure-mgmt-sql_slash_azure_slash_mgmt_slash_sql_slash_operations_slash__databases_operations.py,DatabasesOperations,4
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/663c846e4d24166f0e76092a80989cfd08521bf2/before/sdk_slash_sql_slash_azure-mgmt-sql_slash_azure_slash_mgmt_slash_sql_slash_operations_slash__databases_operations.py,DatabasesOperations._update_initial,4
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/663c846e4d24166f0e76092a80989cfd08521bf2/before/sdk_slash_sql_slash_azure-mgmt-sql_slash_azure_slash_mgmt_slash_sql_slash_operations_slash__databases_operations.py,DatabasesOperations._pause_initial,4
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/663c846e4d24166f0e76092a80989cfd08521bf2/before/sdk_slash_sql_slash_azure-mgmt-sql_slash_azure_slash_mgmt_slash_sql_slash_operations_slash__databases_operations.py,DatabasesOperations._resume_initial,4
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/663c846e4d24166f0e76092a80989cfd08521bf2/before/sdk_slash_sql_slash_azure-mgmt-sql_slash_azure_slash_mgmt_slash_sql_slash_operations_slash__databases_operations.py,DatabasesOperations._import_method_initial,4
c:/src/pylint-intervention/data/in_the_wild\versions/azure-sdk-for-python/663c846e4d24166f0e76092a80989cfd08521bf2/before/sdk_slash_sql_slash_azure-mgmt-sql_slash_azure_slash_mgmt_slash_sql_slash_operations_slash__databases_operations.py,DatabasesOperations._export_initial,4
