file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/baseline/746fcf5fc8ec939094fb4f50939e15eddd7428df/before/layers_slash_eight_mile_slash_tf_slash_optz.py,_optimize_loss,41
c:/src/pylint-intervention/data/in_the_wild\versions/baseline/746fcf5fc8ec939094fb4f50939e15eddd7428df/before/layers_slash_eight_mile_slash_tf_slash_optz.py,EagerOptimizer.__init__,10
c:/src/pylint-intervention/data/in_the_wild\versions/baseline/746fcf5fc8ec939094fb4f50939e15eddd7428df/before/layers_slash_eight_mile_slash_tf_slash_optz.py,_multiply_gradients,7
c:/src/pylint-intervention/data/in_the_wild\versions/baseline/746fcf5fc8ec939094fb4f50939e15eddd7428df/before/layers_slash_eight_mile_slash_tf_slash_optz.py,optimizer,6
c:/src/pylint-intervention/data/in_the_wild\versions/baseline/746fcf5fc8ec939094fb4f50939e15eddd7428df/before/layers_slash_eight_mile_slash_tf_slash_optz.py,AdamWOptimizer.apply_gradients,4
c:/src/pylint-intervention/data/in_the_wild\versions/baseline/746fcf5fc8ec939094fb4f50939e15eddd7428df/before/layers_slash_eight_mile_slash_tf_slash_optz.py,EagerOptimizer,4
c:/src/pylint-intervention/data/in_the_wild\versions/baseline/746fcf5fc8ec939094fb4f50939e15eddd7428df/before/layers_slash_eight_mile_slash_tf_slash_optz.py,ZarembaDecaySchedulerTensorFlow1,3
c:/src/pylint-intervention/data/in_the_wild\versions/baseline/746fcf5fc8ec939094fb4f50939e15eddd7428df/before/layers_slash_eight_mile_slash_tf_slash_optz.py,ZarembaDecaySchedulerTensorFlow2,3
c:/src/pylint-intervention/data/in_the_wild\versions/baseline/746fcf5fc8ec939094fb4f50939e15eddd7428df/before/layers_slash_eight_mile_slash_tf_slash_optz.py,AdamWOptimizer,3
c:/src/pylint-intervention/data/in_the_wild\versions/baseline/746fcf5fc8ec939094fb4f50939e15eddd7428df/before/layers_slash_eight_mile_slash_tf_slash_optz.py,ConstantSchedulerTensorFlow1,2
c:/src/pylint-intervention/data/in_the_wild\versions/baseline/746fcf5fc8ec939094fb4f50939e15eddd7428df/before/layers_slash_eight_mile_slash_tf_slash_optz.py,WarmupLinearSchedulerTensorFlow1,2
c:/src/pylint-intervention/data/in_the_wild\versions/baseline/746fcf5fc8ec939094fb4f50939e15eddd7428df/before/layers_slash_eight_mile_slash_tf_slash_optz.py,CyclicLRSchedulerTensorFlow1,2
c:/src/pylint-intervention/data/in_the_wild\versions/baseline/746fcf5fc8ec939094fb4f50939e15eddd7428df/before/layers_slash_eight_mile_slash_tf_slash_optz.py,SGDRSchedulerTensorFlow1,2
c:/src/pylint-intervention/data/in_the_wild\versions/baseline/746fcf5fc8ec939094fb4f50939e15eddd7428df/before/layers_slash_eight_mile_slash_tf_slash_optz.py,CompositeLRSchedulerTensorFlow1,2
c:/src/pylint-intervention/data/in_the_wild\versions/baseline/746fcf5fc8ec939094fb4f50939e15eddd7428df/before/layers_slash_eight_mile_slash_tf_slash_optz.py,PiecewiseDecaySchedulerTensorFlow1,2
