file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,powerlog.start,34
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,powerlog,20
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,powerlog.__init__,15
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower.__init__,10
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,main,7
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower.wr_command,7
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower.interpret_line,7
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,powerlog.process_scenario,7
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower.add_ina_name,6
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower.read_line,6
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,process_filename,5
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower,4
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower.clear,4
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower.add_ina,4
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower.reset,3
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower.start,3
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower.send_reset,2
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower.stop,2
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower.set_time,2
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,logoutput,1
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower.clear_ina_struct,1
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower.append_ina_struct,1
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower.report_header_size,1
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower.report_size,1
c:/src/pylint-intervention/data/in_the_wild\versions/chrome-ec/7540e7b47b55447475bb8191fb3520dd67cf7998/after/extra_slash_usb_power_slash_powerlog.py,Spower.load_board,1
