file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/connectedhomeip/91ea3d50e15ae1670fd31ab7faea4dffed312d2f/before/scripts_slash_tools_slash_memory_slash_gh_report.py,SizeDatabase.add_sizes_from_github,21
c:/src/pylint-intervention/data/in_the_wild\versions/connectedhomeip/91ea3d50e15ae1670fd31ab7faea4dffed312d2f/before/scripts_slash_tools_slash_memory_slash_gh_report.py,report_matching_commits,15
c:/src/pylint-intervention/data/in_the_wild\versions/connectedhomeip/91ea3d50e15ae1670fd31ab7faea4dffed312d2f/before/scripts_slash_tools_slash_memory_slash_gh_report.py,gh_send_change_report,12
c:/src/pylint-intervention/data/in_the_wild\versions/connectedhomeip/91ea3d50e15ae1670fd31ab7faea4dffed312d2f/before/scripts_slash_tools_slash_memory_slash_gh_report.py,changes_for_commit,9
c:/src/pylint-intervention/data/in_the_wild\versions/connectedhomeip/91ea3d50e15ae1670fd31ab7faea4dffed312d2f/before/scripts_slash_tools_slash_memory_slash_gh_report.py,gh_comment_v1,9
c:/src/pylint-intervention/data/in_the_wild\versions/connectedhomeip/91ea3d50e15ae1670fd31ab7faea4dffed312d2f/before/scripts_slash_tools_slash_memory_slash_gh_report.py,SizeDatabase.add_sizes,7
c:/src/pylint-intervention/data/in_the_wild\versions/connectedhomeip/91ea3d50e15ae1670fd31ab7faea4dffed312d2f/before/scripts_slash_tools_slash_memory_slash_gh_report.py,read_hierified,6
c:/src/pylint-intervention/data/in_the_wild\versions/connectedhomeip/91ea3d50e15ae1670fd31ab7faea4dffed312d2f/before/scripts_slash_tools_slash_memory_slash_gh_report.py,gh_open,5
c:/src/pylint-intervention/data/in_the_wild\versions/connectedhomeip/91ea3d50e15ae1670fd31ab7faea4dffed312d2f/before/scripts_slash_tools_slash_memory_slash_gh_report.py,SizeDatabase,5
c:/src/pylint-intervention/data/in_the_wild\versions/connectedhomeip/91ea3d50e15ae1670fd31ab7faea4dffed312d2f/before/scripts_slash_tools_slash_memory_slash_gh_report.py,SizeDatabase.delete_artifact,5
