file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/5d04aace44cee50bb1fe1d02e3b866be8ffae7e8/before/diofant_slash_polys_slash_polytools.py,_symbolic_factor_list,25
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/5d04aace44cee50bb1fe1d02e3b866be8ffae7e8/before/diofant_slash_polys_slash_polytools.py,parallel_poly_from_expr,20
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/5d04aace44cee50bb1fe1d02e3b866be8ffae7e8/before/diofant_slash_polys_slash_polytools.py,cancel,18
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/5d04aace44cee50bb1fe1d02e3b866be8ffae7e8/before/diofant_slash_polys_slash_polytools.py,_generic_factor_list,15
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/5d04aace44cee50bb1fe1d02e3b866be8ffae7e8/before/diofant_slash_polys_slash_polytools.py,reduced,13
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/5d04aace44cee50bb1fe1d02e3b866be8ffae7e8/before/diofant_slash_polys_slash_polytools.py,Poly.count_roots,13
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/5d04aace44cee50bb1fe1d02e3b866be8ffae7e8/before/diofant_slash_polys_slash_polytools.py,Poly.nroots,13
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/5d04aace44cee50bb1fe1d02e3b866be8ffae7e8/before/diofant_slash_polys_slash_polytools.py,terms_gcd,12
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/5d04aace44cee50bb1fe1d02e3b866be8ffae7e8/before/diofant_slash_polys_slash_polytools.py,GroebnerBasis.reduce,12
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/5d04aace44cee50bb1fe1d02e3b866be8ffae7e8/before/diofant_slash_polys_slash_polytools.py,Poly._from_poly,9
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/5d04aace44cee50bb1fe1d02e3b866be8ffae7e8/before/diofant_slash_polys_slash_polytools.py,Poly.eval,9
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/5d04aace44cee50bb1fe1d02e3b866be8ffae7e8/before/diofant_slash_polys_slash_polytools.py,_symbolic_factor,8
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/5d04aace44cee50bb1fe1d02e3b866be8ffae7e8/before/diofant_slash_polys_slash_polytools.py,factor,8
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/5d04aace44cee50bb1fe1d02e3b866be8ffae7e8/before/diofant_slash_polys_slash_polytools.py,Poly.replace,8
