file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/ef0d3e7ecd05985750a20d6285f9fdce47b9616d/before/diofant_slash_functions_slash_special_slash_delta_functions.py,DiracDelta.simplify,9
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/ef0d3e7ecd05985750a20d6285f9fdce47b9616d/before/diofant_slash_functions_slash_special_slash_delta_functions.py,Heaviside.eval,5
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/ef0d3e7ecd05985750a20d6285f9fdce47b9616d/before/diofant_slash_functions_slash_special_slash_delta_functions.py,DiracDelta.eval,4
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/ef0d3e7ecd05985750a20d6285f9fdce47b9616d/before/diofant_slash_functions_slash_special_slash_delta_functions.py,Heaviside,4
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/ef0d3e7ecd05985750a20d6285f9fdce47b9616d/before/diofant_slash_functions_slash_special_slash_delta_functions.py,DiracDelta,3
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/ef0d3e7ecd05985750a20d6285f9fdce47b9616d/before/diofant_slash_functions_slash_special_slash_delta_functions.py,DiracDelta.fdiff,3
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/ef0d3e7ecd05985750a20d6285f9fdce47b9616d/before/diofant_slash_functions_slash_special_slash_delta_functions.py,DiracDelta.is_simple,2
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/ef0d3e7ecd05985750a20d6285f9fdce47b9616d/before/diofant_slash_functions_slash_special_slash_delta_functions.py,Heaviside.fdiff,2
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/ef0d3e7ecd05985750a20d6285f9fdce47b9616d/before/diofant_slash_functions_slash_special_slash_delta_functions.py,Heaviside._eval_rewrite_as_Piecewise,2
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/ef0d3e7ecd05985750a20d6285f9fdce47b9616d/before/diofant_slash_functions_slash_special_slash_delta_functions.py,Heaviside._eval_rewrite_as_sign,2
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/ef0d3e7ecd05985750a20d6285f9fdce47b9616d/before/diofant_slash_functions_slash_special_slash_delta_functions.py,DiracDelta._latex_no_arg,1
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/ef0d3e7ecd05985750a20d6285f9fdce47b9616d/before/diofant_slash_functions_slash_special_slash_delta_functions.py,DiracDelta._eval_adjoint,1
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/ef0d3e7ecd05985750a20d6285f9fdce47b9616d/before/diofant_slash_functions_slash_special_slash_delta_functions.py,DiracDelta._eval_conjugate,1
c:/src/pylint-intervention/data/in_the_wild\versions/diofant/ef0d3e7ecd05985750a20d6285f9fdce47b9616d/before/diofant_slash_functions_slash_special_slash_delta_functions.py,DiracDelta._eval_transpose,1
