file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/django-DefectDojo/660d313110b9a58149079673687ebbcf9639b083/after/dojo_slash_tools_slash_scout_suite_slash_parser.py,ScoutSuiteParser.__get_items,11
c:/src/pylint-intervention/data/in_the_wild\versions/django-DefectDojo/660d313110b9a58149079673687ebbcf9639b083/after/dojo_slash_tools_slash_scout_suite_slash_parser.py,ScoutSuiteParser.recursive_print,8
c:/src/pylint-intervention/data/in_the_wild\versions/django-DefectDojo/660d313110b9a58149079673687ebbcf9639b083/after/dojo_slash_tools_slash_scout_suite_slash_parser.py,ScoutSuiteParser,4
c:/src/pylint-intervention/data/in_the_wild\versions/django-DefectDojo/660d313110b9a58149079673687ebbcf9639b083/after/dojo_slash_tools_slash_scout_suite_slash_parser.py,ScoutSuiteParser.get_tests,3
c:/src/pylint-intervention/data/in_the_wild\versions/django-DefectDojo/660d313110b9a58149079673687ebbcf9639b083/after/dojo_slash_tools_slash_scout_suite_slash_parser.py,ScoutSuiteParser.getCriticalityRating,3
c:/src/pylint-intervention/data/in_the_wild\versions/django-DefectDojo/660d313110b9a58149079673687ebbcf9639b083/after/dojo_slash_tools_slash_scout_suite_slash_parser.py,ScoutSuiteParser.get_findings,2
c:/src/pylint-intervention/data/in_the_wild\versions/django-DefectDojo/660d313110b9a58149079673687ebbcf9639b083/after/dojo_slash_tools_slash_scout_suite_slash_parser.py,ScoutSuiteParser.formatview,2
c:/src/pylint-intervention/data/in_the_wild\versions/django-DefectDojo/660d313110b9a58149079673687ebbcf9639b083/after/dojo_slash_tools_slash_scout_suite_slash_parser.py,ScoutSuiteParser.get_scan_types,1
c:/src/pylint-intervention/data/in_the_wild\versions/django-DefectDojo/660d313110b9a58149079673687ebbcf9639b083/after/dojo_slash_tools_slash_scout_suite_slash_parser.py,ScoutSuiteParser.get_label_for_scan_types,1
c:/src/pylint-intervention/data/in_the_wild\versions/django-DefectDojo/660d313110b9a58149079673687ebbcf9639b083/after/dojo_slash_tools_slash_scout_suite_slash_parser.py,ScoutSuiteParser.get_description_for_scan_types,1
