file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,run_server,41
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,_run_server,21
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,_ensure_runstate_dir,9
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,server_main,6
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,bump_rlimit_nofile,5
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,main,5
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,_get_remote_pgcluster,4
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,generate_tls_cert,3
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,_get_local_pgcluster,3
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,FileModifiedHandler,3
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,FileModifiedHandler.on_modified,3
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,_internal_state_dir,2
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,abort,1
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,_init_cluster,1
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,_init_parsers,1
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,generate_jwk,1
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,compiler,1
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,main_dev,1
c:/src/pylint-intervention/data/in_the_wild\versions/edgedb/135d9e8550f7532c215091b1fc20551f9915d194/before/edb_slash_server_slash_main.py,FileModifiedHandler.__init__,1
