file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/2026148dbe6d5e8e2c9701b7db0d1041be662307/before/erpnext_slash_accounts_slash_doctype_slash_purchase_invoice_slash_purchase_invoice.py,PurchaseInvoice.make_gl_entries,31
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/2026148dbe6d5e8e2c9701b7db0d1041be662307/before/erpnext_slash_accounts_slash_doctype_slash_purchase_invoice_slash_purchase_invoice.py,PurchaseInvoice.set_against_expense_account,10
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/2026148dbe6d5e8e2c9701b7db0d1041be662307/before/erpnext_slash_accounts_slash_doctype_slash_purchase_invoice_slash_purchase_invoice.py,PurchaseInvoice.validate_bill_no,9
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/2026148dbe6d5e8e2c9701b7db0d1041be662307/before/erpnext_slash_accounts_slash_doctype_slash_purchase_invoice_slash_purchase_invoice.py,PurchaseInvoice.check_conversion_rate,7
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/2026148dbe6d5e8e2c9701b7db0d1041be662307/before/erpnext_slash_accounts_slash_doctype_slash_purchase_invoice_slash_purchase_invoice.py,PurchaseInvoice.check_for_acc_head_of_supplier,7
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/2026148dbe6d5e8e2c9701b7db0d1041be662307/before/erpnext_slash_accounts_slash_doctype_slash_purchase_invoice_slash_purchase_invoice.py,PurchaseInvoice,6
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/2026148dbe6d5e8e2c9701b7db0d1041be662307/before/erpnext_slash_accounts_slash_doctype_slash_purchase_invoice_slash_purchase_invoice.py,PurchaseInvoice.check_for_stopped_status,6
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/2026148dbe6d5e8e2c9701b7db0d1041be662307/before/erpnext_slash_accounts_slash_doctype_slash_purchase_invoice_slash_purchase_invoice.py,PurchaseInvoice.check_prev_docstatus,6
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/2026148dbe6d5e8e2c9701b7db0d1041be662307/before/erpnext_slash_accounts_slash_doctype_slash_purchase_invoice_slash_purchase_invoice.py,PurchaseInvoice.check_active_purchase_items,4
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/2026148dbe6d5e8e2c9701b7db0d1041be662307/before/erpnext_slash_accounts_slash_doctype_slash_purchase_invoice_slash_purchase_invoice.py,PurchaseInvoice.po_required,4
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/2026148dbe6d5e8e2c9701b7db0d1041be662307/before/erpnext_slash_accounts_slash_doctype_slash_purchase_invoice_slash_purchase_invoice.py,PurchaseInvoice.pr_required,4
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/2026148dbe6d5e8e2c9701b7db0d1041be662307/before/erpnext_slash_accounts_slash_doctype_slash_purchase_invoice_slash_purchase_invoice.py,PurchaseInvoice.update_against_document_in_jv,4
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/2026148dbe6d5e8e2c9701b7db0d1041be662307/before/erpnext_slash_accounts_slash_doctype_slash_purchase_invoice_slash_purchase_invoice.py,PurchaseInvoice.set_missing_values,3
