file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/deca1aaf063a3a13404ddc7639e14a0a7bf55ff8/after/erpnext_slash_stock_slash_doctype_slash_stock_reconciliation_slash_stock_reconciliation.py,StockReconciliation.update_stock_ledger,24
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/deca1aaf063a3a13404ddc7639e14a0a7bf55ff8/after/erpnext_slash_stock_slash_doctype_slash_stock_reconciliation_slash_stock_reconciliation.py,StockReconciliation.validate_data,16
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/deca1aaf063a3a13404ddc7639e14a0a7bf55ff8/after/erpnext_slash_stock_slash_doctype_slash_stock_reconciliation_slash_stock_reconciliation.py,StockReconciliation.get_sle_for_serialized_items,12
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/deca1aaf063a3a13404ddc7639e14a0a7bf55ff8/after/erpnext_slash_stock_slash_doctype_slash_stock_reconciliation_slash_stock_reconciliation.py,get_items,10
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/deca1aaf063a3a13404ddc7639e14a0a7bf55ff8/after/erpnext_slash_stock_slash_doctype_slash_stock_reconciliation_slash_stock_reconciliation.py,StockReconciliation.get_sle_for_items,9
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/deca1aaf063a3a13404ddc7639e14a0a7bf55ff8/after/erpnext_slash_stock_slash_doctype_slash_stock_reconciliation_slash_stock_reconciliation.py,StockReconciliation.validate_item,8
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/deca1aaf063a3a13404ddc7639e14a0a7bf55ff8/after/erpnext_slash_stock_slash_doctype_slash_stock_reconciliation_slash_stock_reconciliation.py,StockReconciliation.make_sle_on_cancel,8
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/deca1aaf063a3a13404ddc7639e14a0a7bf55ff8/after/erpnext_slash_stock_slash_doctype_slash_stock_reconciliation_slash_stock_reconciliation.py,get_stock_balance_for,7
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/deca1aaf063a3a13404ddc7639e14a0a7bf55ff8/after/erpnext_slash_stock_slash_doctype_slash_stock_reconciliation_slash_stock_reconciliation.py,StockReconciliation.merge_similar_item_serial_nos,7
c:/src/pylint-intervention/data/in_the_wild\versions/erpnext/deca1aaf063a3a13404ddc7639e14a0a7bf55ff8/after/erpnext_slash_stock_slash_doctype_slash_stock_reconciliation_slash_stock_reconciliation.py,StockReconciliation,6
