file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/odoo_addons/1142e72906284e257d0d39789c5e1b1e732471a4/before/website_pinetwork_odoo_slash_models_slash_admin_apps.py,pi_transactions.check_transactions_one_user,30
c:/src/pylint-intervention/data/in_the_wild\versions/odoo_addons/1142e72906284e257d0d39789c5e1b1e732471a4/before/website_pinetwork_odoo_slash_models_slash_admin_apps.py,pi_transactions.check_transactions,20
c:/src/pylint-intervention/data/in_the_wild\versions/odoo_addons/1142e72906284e257d0d39789c5e1b1e732471a4/before/website_pinetwork_odoo_slash_models_slash_admin_apps.py,pi_transactions,19
c:/src/pylint-intervention/data/in_the_wild\versions/odoo_addons/1142e72906284e257d0d39789c5e1b1e732471a4/before/website_pinetwork_odoo_slash_models_slash_admin_apps.py,admin_apps.pi_api,17
c:/src/pylint-intervention/data/in_the_wild\versions/odoo_addons/1142e72906284e257d0d39789c5e1b1e732471a4/before/website_pinetwork_odoo_slash_models_slash_admin_apps.py,admin_apps,8
c:/src/pylint-intervention/data/in_the_wild\versions/odoo_addons/1142e72906284e257d0d39789c5e1b1e732471a4/before/website_pinetwork_odoo_slash_models_slash_admin_apps.py,pi_users._total_paid_transactions,8
c:/src/pylint-intervention/data/in_the_wild\versions/odoo_addons/1142e72906284e257d0d39789c5e1b1e732471a4/before/website_pinetwork_odoo_slash_models_slash_admin_apps.py,admin_apps.fill_winners,7
c:/src/pylint-intervention/data/in_the_wild\versions/odoo_addons/1142e72906284e257d0d39789c5e1b1e732471a4/before/website_pinetwork_odoo_slash_models_slash_admin_apps.py,pi_users,6
c:/src/pylint-intervention/data/in_the_wild\versions/odoo_addons/1142e72906284e257d0d39789c5e1b1e732471a4/before/website_pinetwork_odoo_slash_models_slash_admin_apps.py,pi_users._compute_donator,6
c:/src/pylint-intervention/data/in_the_wild\versions/odoo_addons/1142e72906284e257d0d39789c5e1b1e732471a4/before/website_pinetwork_odoo_slash_models_slash_admin_apps.py,pi_users.check_users,5
c:/src/pylint-intervention/data/in_the_wild\versions/odoo_addons/1142e72906284e257d0d39789c5e1b1e732471a4/before/website_pinetwork_odoo_slash_models_slash_admin_apps.py,pi_transactions._compute_txid_url,3
c:/src/pylint-intervention/data/in_the_wild\versions/odoo_addons/1142e72906284e257d0d39789c5e1b1e732471a4/before/website_pinetwork_odoo_slash_models_slash_admin_apps.py,pi_users._total_points,3
c:/src/pylint-intervention/data/in_the_wild\versions/odoo_addons/1142e72906284e257d0d39789c5e1b1e732471a4/before/website_pinetwork_odoo_slash_models_slash_admin_apps.py,admin_apps.delete_winners,2
c:/src/pylint-intervention/data/in_the_wild\versions/odoo_addons/1142e72906284e257d0d39789c5e1b1e732471a4/before/website_pinetwork_odoo_slash_models_slash_admin_apps.py,admin_apps._compute_pi_users_winners_count,2
