file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,_get_empty_dtype,26
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,JoinUnit.get_reindexed_values,20
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,concatenate_block_managers,19
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,_concatenate_join_units,16
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,_get_mgr_concatenation_plan,12
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,_combine_concat_plans,12
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,_select_upcast_cls_from_dtype,11
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,_dtype_to_na_value,8
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,_is_uniform_join_units,8
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,JoinUnit,6
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,_get_upcast_classes,5
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,_is_uniform_reindex,5
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,JoinUnit.is_na,5
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,_trim_join_unit,3
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,JoinUnit.needs_filling,3
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,JoinUnit.dtype,3
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,JoinUnit.__init__,2
c:/src/pylint-intervention/data/in_the_wild\versions/pandas/bcf2406dc49e47ced45eca2e2fef0ed42fa900cf/before/pandas_slash_core_slash_internals_slash_concat.py,JoinUnit.__repr__,1
