file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/pigweed/e2dc38c7881a55cba8eaf1489f0337d06bdcf858/before/pw_watch_slash_py_slash_pw_watch_slash_watch.py,watch,19
c:/src/pylint-intervention/data/in_the_wild\versions/pigweed/e2dc38c7881a55cba8eaf1489f0337d06bdcf858/before/pw_watch_slash_py_slash_pw_watch_slash_watch.py,minimal_watch_directories,12
c:/src/pylint-intervention/data/in_the_wild\versions/pigweed/e2dc38c7881a55cba8eaf1489f0337d06bdcf858/before/pw_watch_slash_py_slash_pw_watch_slash_watch.py,PigweedBuildWatcher.dispatch,9
c:/src/pylint-intervention/data/in_the_wild\versions/pigweed/e2dc38c7881a55cba8eaf1489f0337d06bdcf858/before/pw_watch_slash_py_slash_pw_watch_slash_watch.py,PigweedBuildWatcher.on_complete,8
c:/src/pylint-intervention/data/in_the_wild\versions/pigweed/e2dc38c7881a55cba8eaf1489f0337d06bdcf858/before/pw_watch_slash_py_slash_pw_watch_slash_watch.py,get_common_excludes,7
c:/src/pylint-intervention/data/in_the_wild\versions/pigweed/e2dc38c7881a55cba8eaf1489f0337d06bdcf858/before/pw_watch_slash_py_slash_pw_watch_slash_watch.py,PigweedBuildWatcher._run_build,5
c:/src/pylint-intervention/data/in_the_wild\versions/pigweed/e2dc38c7881a55cba8eaf1489f0337d06bdcf858/before/pw_watch_slash_py_slash_pw_watch_slash_watch.py,git_ignored,4
c:/src/pylint-intervention/data/in_the_wild\versions/pigweed/e2dc38c7881a55cba8eaf1489f0337d06bdcf858/before/pw_watch_slash_py_slash_pw_watch_slash_watch.py,PigweedBuildWatcher,4
c:/src/pylint-intervention/data/in_the_wild\versions/pigweed/e2dc38c7881a55cba8eaf1489f0337d06bdcf858/before/pw_watch_slash_py_slash_pw_watch_slash_watch.py,PigweedBuildWatcher._path_matches,4
c:/src/pylint-intervention/data/in_the_wild\versions/pigweed/e2dc38c7881a55cba8eaf1489f0337d06bdcf858/before/pw_watch_slash_py_slash_pw_watch_slash_watch.py,BuildCommand,3
c:/src/pylint-intervention/data/in_the_wild\versions/pigweed/e2dc38c7881a55cba8eaf1489f0337d06bdcf858/before/pw_watch_slash_py_slash_pw_watch_slash_watch.py,PigweedBuildWatcher._wait_for_enter,3
c:/src/pylint-intervention/data/in_the_wild\versions/pigweed/e2dc38c7881a55cba8eaf1489f0337d06bdcf858/before/pw_watch_slash_py_slash_pw_watch_slash_watch.py,PigweedBuildWatcher.run,3
c:/src/pylint-intervention/data/in_the_wild\versions/pigweed/e2dc38c7881a55cba8eaf1489f0337d06bdcf858/before/pw_watch_slash_py_slash_pw_watch_slash_watch.py,BuildCommand.__str__,2
c:/src/pylint-intervention/data/in_the_wild\versions/pigweed/e2dc38c7881a55cba8eaf1489f0337d06bdcf858/before/pw_watch_slash_py_slash_pw_watch_slash_watch.py,PigweedBuildWatcher.__init__,2
c:/src/pylint-intervention/data/in_the_wild\versions/pigweed/e2dc38c7881a55cba8eaf1489f0337d06bdcf858/before/pw_watch_slash_py_slash_pw_watch_slash_watch.py,PigweedBuildWatcher._handle_matched_event,2
c:/src/pylint-intervention/data/in_the_wild\versions/pigweed/e2dc38c7881a55cba8eaf1489f0337d06bdcf858/before/pw_watch_slash_py_slash_pw_watch_slash_watch.py,PigweedBuildWatcher.cancel,2
c:/src/pylint-intervention/data/in_the_wild\versions/pigweed/e2dc38c7881a55cba8eaf1489f0337d06bdcf858/before/pw_watch_slash_py_slash_pw_watch_slash_watch.py,_die,1
