file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,BiasedSignallingOnTheFlyCalculation.get_context_data,82
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,LigandStatistics,56
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,LigandStatistics.get_context_data,55
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,TargetDetailsCompact,33
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,BiasedSignallingOnTheFlyCalculation,31
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,OTFBiasBrowser,22
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,OTFBiasBrowser.get_context_data,21
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,TargetDetails,20
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,CachedOTFBiasBrowsers,14
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,TargetPurchasabilityDetails,11
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,LigandDetails,9
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,LigandBrowser.fetch_receptor_transducers,9
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,LigandBrowser,7
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,BiasedSignallingOnTheFlyCalculation.jitter_tooltip,7
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,LigandInformationView.process_assay,7
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,LigandInformationView.process_ligand,6
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,LigandInformationView.process_values,5
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,BiasedSignallingSelection,4
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,UserBiased,4
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,BiasVendorBrowser,4
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,LigandInformationView,4
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,BiasPathways,4
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,BiasPathways.process_data,4
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,LigandBrowser.get_context_data,3
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,BiasedSignallingSelection.get_context_data,3
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,UserBiased.get_context_data,3
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,BiasVendorBrowser.get_context_data,3
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,LigandInformationView.get_mutations,3
c:/src/pylint-intervention/data/in_the_wild\versions/protwis/8efa811effd3bae894c185c1642d15ed2c0e5015/after/ligand_slash_views.py,test_link,2
