file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,_parse_spec,35
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,InputOutputSystem._find_signals,20
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,NamedSignal._parse_key,19
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,_process_iosys_keywords,17
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,_process_signal_list,13
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,common_timebase,10
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,_process_dt_keyword,10
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,InputOutputSystem._label_repr,10
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,InputOutputSystem.update_names,10
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,_process_indices,9
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,_process_control_disturbance_indices,9
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,_process_subsys_index,9
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,isdtime,7
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,isctime,7
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,NamedSignal,7
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,_process_labels,6
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,timebase,5
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,_extended_system_name,5
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,InputOutputSystem._name_or_default,5
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,issiso,4
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,InputOutputSystem,4
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,InputOutputSystem._copy_names,3
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,InputOutputSystem.copy,3
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,InputOutputSystem.isctime,3
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,InputOutputSystem.isdtime,3
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,NamedSignal.__array_finalize__,2
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,InputOutputSystem.__init__,2
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,InputOutputSystem.repr_format,2
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,InputOutputSystem.__str__,2
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/376c28e461477f74bcef47edcc5be5abe4219440/before/control_slash_iosys.py,InputOutputSystem.issiso,2
