file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,_convert_to_transfer_function,29
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.__init__,24
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,_clean_part,23
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction._common_den,22
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,_tf_polynomial_to_string,16
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction._repr_latex_,15
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.__mul__,14
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,_tf_factorized_polynomial_to_string,13
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.__getitem__,13
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.__str__,12
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.__add__,12
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.__rmul__,12
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,tf,11
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.sample,11
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.minreal,10
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction,8
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.returnScipySignalLTI,8
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,ss2tf,7
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction._truncatecoeff,7
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.__truediv__,6
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.__rtruediv__,6
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,_c2d_matched,5
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.horner,5
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.__pow__,5
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.feedback,5
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction._isstatic,5
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.__repr__,4
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.__neg__,3
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.zeros,3
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.poles,2
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,_tf_string_to_latex,1
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,_add_siso,1
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,zpk,1
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,tfdata,1
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,_float2str,1
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.__call__,1
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.__radd__,1
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.__sub__,1
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.__rsub__,1
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.freqresp,1
c:/src/pylint-intervention/data/in_the_wild\versions/python-control/d4525a1dac0de5e7f9c84e1ada6a7e48cfd276af/before/control_slash_xferfcn.py,TransferFunction.dcgain,1
