file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.onKeyDown,15
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.onEnteredText,13
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.SetMultipleChoices,11
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.__init__,10
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.SetChoices,5
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete._setValueFromSelected,5
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,test.match,5
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete,4
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete._showDropDown,4
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete._updateDataList,4
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,test.setDynamicChoices,4
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete._setListSize,3
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,test,3
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,myListCtrl,2
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.handler_close,2
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.onListClick,2
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.onListColClick,2
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.onClickToggleUp,2
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.GetChoices,2
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete._listItemVisible,2
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,test.__init__,2
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,getSmallUpArrowData,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,getSmallUpArrowBitmap,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,getSmallUpArrowImage,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,getSmallDnArrowData,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,getSmallDnArrowBitmap,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,getSmallDnArrowImage,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,myListCtrl.__init__,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.GetSortImages,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.GetListCtrl,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.onListDClick,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.onListItemSelected,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.onClickToggleDown,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.onControlChanged,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.SetSelectCallback,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.SetEntryCallback,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,TextCtrlAutoComplete.SetMatchFunction,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,test.onBtChangeChoice,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,test.onBtMultiChoice,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,test.onBtStartChoices,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,test.onBtDynamicChoices,1
c:/src/pylint-intervention/data/in_the_wild\versions/pytigon/b5222b381ef97984b7383e222bc6e721260f3c5e/after/pytigon_slash_ext_lib_slash_autocomplete.py,test.selectCallback,1
