file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/98b85fed7ac3175accebe864d8da9f0122f21e37/before/pywikibot_slash_site_slash__generators.py,GeneratorsMixin.loadrevisions,36
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/98b85fed7ac3175accebe864d8da9f0122f21e37/before/pywikibot_slash_site_slash__generators.py,GeneratorsMixin.categorymembers,35
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/98b85fed7ac3175accebe864d8da9f0122f21e37/before/pywikibot_slash_site_slash__generators.py,GeneratorsMixin.preloadpages,20
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/98b85fed7ac3175accebe864d8da9f0122f21e37/before/pywikibot_slash_site_slash__generators.py,GeneratorsMixin.patrol,16
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/98b85fed7ac3175accebe864d8da9f0122f21e37/before/pywikibot_slash_site_slash__generators.py,GeneratorsMixin.allpages,14
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/98b85fed7ac3175accebe864d8da9f0122f21e37/before/pywikibot_slash_site_slash__generators.py,GeneratorsMixin.blocks,13
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/98b85fed7ac3175accebe864d8da9f0122f21e37/before/pywikibot_slash_site_slash__generators.py,GeneratorsMixin.recentchanges,12
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/98b85fed7ac3175accebe864d8da9f0122f21e37/before/pywikibot_slash_site_slash__generators.py,GeneratorsMixin.deletedrevs,12
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/98b85fed7ac3175accebe864d8da9f0122f21e37/before/pywikibot_slash_site_slash__generators.py,GeneratorsMixin.logevents,11
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/98b85fed7ac3175accebe864d8da9f0122f21e37/before/pywikibot_slash_site_slash__generators.py,GeneratorsMixin.load_pages_from_pageids,10
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/98b85fed7ac3175accebe864d8da9f0122f21e37/before/pywikibot_slash_site_slash__generators.py,GeneratorsMixin.search,10
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/98b85fed7ac3175accebe864d8da9f0122f21e37/before/pywikibot_slash_site_slash__generators.py,GeneratorsMixin.usercontribs,10
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/98b85fed7ac3175accebe864d8da9f0122f21e37/before/pywikibot_slash_site_slash__generators.py,GeneratorsMixin.pagelanglinks,9
