file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage._ocr_callback,16
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,IndexPage._get_page_mappings,14
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,IndexPage.page_gen,13
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage.index,11
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage.ocr,9
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage.url_image,6
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,IndexPage.has_valid_content,6
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,FullHeader,4
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,FullHeader.__init__,4
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage.__init__,4
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage._do_ocr,4
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,IndexPage,4
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,IndexPage.__init__,4
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage,3
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage._parse_title,3
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage.quality_level,3
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage.text,3
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage._decompose_page,3
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,IndexPage.purge,3
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,IndexPage._get_from_label,3
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,FullHeader.__str__,2
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage._fmt,2
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage.index,2
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage.index,2
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage.ql,2
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage.status,2
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage.text,2
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage.text,2
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,PurgeRequest,2
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,IndexPage._parse_redlink,2
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,IndexPage.save,2
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,IndexPage.get_label_from_page,2
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,IndexPage.get_label_from_page_number,2
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,IndexPage.get_page,2
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,IndexPage.pages,2
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,IndexPage.get_number,2
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,_bs4_soup,1
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,decompose,1
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,check_if_cached,1
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage.ql,1
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage.user,1
c:/src/pylint-intervention/data/in_the_wild\versions/pywikibot-core/9b5f4540c453e5d5417e7060f664195b60938e57/before/pywikibot_slash_proofreadpage.py,ProofreadPage.user,1
