file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,UserDataForm.clean,13
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,UserDataForm,6
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,GroupWithUserDataForm,4
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,GroupWithUserDataForm.__init__,3
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,GroupWithUserDataAdmin,3
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,GroupWithUserDataAdmin.get_last_login,3
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,UserDataForm.save,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,GroupWithUserDataAdmin.has_add_permission,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,GroupWithUserDataAdmin.get_email,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,GroupWithUserDataAdmin.get_actions,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,GroupWithUserDataAdmin.get_list_display,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,GroupWithUserDataAdmin.get_fieldsets,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,GroupWithUserDataAdmin.get_readonly_fields,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,GroupWithUserDataAdmin.get_form,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,GroupWithUserDataAdmin.save_model,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,create__group_action,1
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,UserDataForm.__init__,1
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,GroupWithUserDataAdmin.has_delete_permission,1
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_admin_slash_group.py,GroupWithUserDataAdmin.has_change_permission,1
