file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoice.set_delivery_context,14
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoice.set_total,11
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoice.get_msg_confirmation_email_html,8
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoice.cancel_if_unconfirmed,6
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoice,5
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoice.get_html_my_order_confirmation,5
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,ProducerInvoice.set_total,5
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoice.has_purchase,4
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoice.get_sales_tariff_margin_html,4
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoice.get_or_create,3
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoice.get_msg_transport_html,3
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoice.get_msg_delivery_point_html,3
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,ProducerInvoice,3
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,ProducerInvoice.get_or_create,3
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,ProducerInvoice.get_order_json,3
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerProducerInvoice,3
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,Invoice,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoiceQuerySet,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoiceQuerySet.last_customer_invoice,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoice.confirm_order,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoice.cancel_confirm_order,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoice.set_next_balance,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,ProducerInvoiceQuerySet,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,ProducerInvoiceQuerySet.last_producer_invoice,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,ProducerInvoice.set_next_balance,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerProducerInvoice.get_html_producer_price_purchased,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerSend,2
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,InvoiceQuerySet,1
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,Invoice.__str__,1
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoiceQuerySet.previous_customer_invoice,1
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoiceQuerySet.next_customer_invoice,1
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoice.create,1
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,CustomerInvoice.__str__,1
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,ProducerInvoiceQuerySet.do_not_invoice,1
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,ProducerInvoiceQuerySet.to_be_invoiced,1
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,ProducerInvoiceQuerySet.previous_producer_invoice,1
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,ProducerInvoiceQuerySet.next_producer_invoice,1
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,ProducerInvoice.create,1
c:/src/pylint-intervention/data/in_the_wild\versions/repanier/5dc8882764d50b8f7d3650d848cb746a54297942/before/repanier_slash_models_slash_invoice.py,ProducerInvoice.get_negative_previous_balance,1
