file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/sasmodels/9d70932f0a036297ae0371e58a6ab4edd06a3541/after/sasmodels_slash_data.py,_plot_result1D,33
c:/src/pylint-intervention/data/in_the_wild\versions/sasmodels/9d70932f0a036297ae0371e58a6ab4edd06a3541/after/sasmodels_slash_data.py,_fillup_pixels,29
c:/src/pylint-intervention/data/in_the_wild\versions/sasmodels/9d70932f0a036297ae0371e58a6ab4edd06a3541/after/sasmodels_slash_data.py,_plot_result_sesans,17
c:/src/pylint-intervention/data/in_the_wild\versions/sasmodels/9d70932f0a036297ae0371e58a6ab4edd06a3541/after/sasmodels_slash_data.py,_plot_result2D,16
c:/src/pylint-intervention/data/in_the_wild\versions/sasmodels/9d70932f0a036297ae0371e58a6ab4edd06a3541/after/sasmodels_slash_data.py,_plot_2d_signal,11
c:/src/pylint-intervention/data/in_the_wild\versions/sasmodels/9d70932f0a036297ae0371e58a6ab4edd06a3541/after/sasmodels_slash_data.py,load_data,10
c:/src/pylint-intervention/data/in_the_wild\versions/sasmodels/9d70932f0a036297ae0371e58a6ab4edd06a3541/after/sasmodels_slash_data.py,plot_theory,7
c:/src/pylint-intervention/data/in_the_wild\versions/sasmodels/9d70932f0a036297ae0371e58a6ab4edd06a3541/after/sasmodels_slash_data.py,_build_matrix,7
c:/src/pylint-intervention/data/in_the_wild\versions/sasmodels/9d70932f0a036297ae0371e58a6ab4edd06a3541/after/sasmodels_slash_data.py,plot_data,5
c:/src/pylint-intervention/data/in_the_wild\versions/sasmodels/9d70932f0a036297ae0371e58a6ab4edd06a3541/after/sasmodels_slash_data.py,Data1D.__init__,5
c:/src/pylint-intervention/data/in_the_wild\versions/sasmodels/9d70932f0a036297ae0371e58a6ab4edd06a3541/after/sasmodels_slash_data.py,set_beam_stop,4
c:/src/pylint-intervention/data/in_the_wild\versions/sasmodels/9d70932f0a036297ae0371e58a6ab4edd06a3541/after/sasmodels_slash_data.py,empty_sesans,4
