file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/scikit-learn/7c95b392aa48f396e02adc2f7052455166feb189/before/sklearn_slash_ensemble_slash__iforest.py,IsolationForest.fit,10
c:/src/pylint-intervention/data/in_the_wild\versions/scikit-learn/7c95b392aa48f396e02adc2f7052455166feb189/before/sklearn_slash_ensemble_slash__iforest.py,IsolationForest,3
c:/src/pylint-intervention/data/in_the_wild\versions/scikit-learn/7c95b392aa48f396e02adc2f7052455166feb189/before/sklearn_slash_ensemble_slash__iforest.py,IsolationForest._compute_chunked_score_samples,3
c:/src/pylint-intervention/data/in_the_wild\versions/scikit-learn/7c95b392aa48f396e02adc2f7052455166feb189/before/sklearn_slash_ensemble_slash__iforest.py,IsolationForest._compute_score_samples,3
c:/src/pylint-intervention/data/in_the_wild\versions/scikit-learn/7c95b392aa48f396e02adc2f7052455166feb189/before/sklearn_slash_ensemble_slash__iforest.py,_average_path_length,1
c:/src/pylint-intervention/data/in_the_wild\versions/scikit-learn/7c95b392aa48f396e02adc2f7052455166feb189/before/sklearn_slash_ensemble_slash__iforest.py,IsolationForest.__init__,1
c:/src/pylint-intervention/data/in_the_wild\versions/scikit-learn/7c95b392aa48f396e02adc2f7052455166feb189/before/sklearn_slash_ensemble_slash__iforest.py,IsolationForest._set_oob_score,1
c:/src/pylint-intervention/data/in_the_wild\versions/scikit-learn/7c95b392aa48f396e02adc2f7052455166feb189/before/sklearn_slash_ensemble_slash__iforest.py,IsolationForest._parallel_args,1
c:/src/pylint-intervention/data/in_the_wild\versions/scikit-learn/7c95b392aa48f396e02adc2f7052455166feb189/before/sklearn_slash_ensemble_slash__iforest.py,IsolationForest.predict,1
c:/src/pylint-intervention/data/in_the_wild\versions/scikit-learn/7c95b392aa48f396e02adc2f7052455166feb189/before/sklearn_slash_ensemble_slash__iforest.py,IsolationForest.decision_function,1
c:/src/pylint-intervention/data/in_the_wild\versions/scikit-learn/7c95b392aa48f396e02adc2f7052455166feb189/before/sklearn_slash_ensemble_slash__iforest.py,IsolationForest.score_samples,1
c:/src/pylint-intervention/data/in_the_wild\versions/scikit-learn/7c95b392aa48f396e02adc2f7052455166feb189/before/sklearn_slash_ensemble_slash__iforest.py,IsolationForest._more_tags,1
