file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,Sv3DNodeProperties.update_properties,13
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,SV_UL_NodeTreePropertyList.filter_items,12
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,SV_UL_NodeTreePropertyList,10
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,Sv3DNodeProperties.move_prop,9
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,SvPopupEditLabel.execute,8
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,Sv3DNodeProperties,7
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,SV_UL_NodeTreePropertyList.draw_item,6
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,Sv3DNodeProperties.move_tree,6
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,SvPopupEditLabel,6
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,Sv3DViewObjInUpdater.modal,6
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,Sv3dPropItem.draw_tree,5
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,Sv3DNodeProperties.search_node,5
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,Sv3dPropItem,4
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,Sv3DNodeProperties.generate_data_structure,4
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,Sv3DNodeProperties.add,4
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,Sv3DNodeProperties.search_tree,4
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,SvMove3DPanelItem,4
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,SvPopupEditLabel.invoke,4
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,SV_PT_3DPanel,3
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,Sv3dPropItem.draw_node,3
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,Sv3DNodeProperties.recreate_list,3
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,Sv3dPropRemoveItem,3
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,Sv3DViewObjInUpdater,3
c:/src/pylint-intervention/data/in_the_wild\versions/sverchok/6019f8e84476e257bb24b026105fcf4d22ce0b4c/before/ui_slash_sv_3d_panel.py,Sv3DViewObjInUpdater.event_dispatcher,3
