file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/116a4c8340b729ffde43be33df24d417384cb28b/after/synapse_slash_handlers_slash_receipts.py,ReceiptsHandler._handle_new_receipts,10
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/116a4c8340b729ffde43be33df24d417384cb28b/after/synapse_slash_handlers_slash_receipts.py,ReceiptEventSource.filter_out_hidden,8
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/116a4c8340b729ffde43be33df24d417384cb28b/after/synapse_slash_handlers_slash_receipts.py,ReceiptsHandler,7
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/116a4c8340b729ffde43be33df24d417384cb28b/after/synapse_slash_handlers_slash_receipts.py,ReceiptsHandler._received_remote_receipt,6
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/116a4c8340b729ffde43be33df24d417384cb28b/after/synapse_slash_handlers_slash_receipts.py,ReceiptsHandler.received_client_receipt,4
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/116a4c8340b729ffde43be33df24d417384cb28b/after/synapse_slash_handlers_slash_receipts.py,ReceiptEventSource,4
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/116a4c8340b729ffde43be33df24d417384cb28b/after/synapse_slash_handlers_slash_receipts.py,ReceiptEventSource.get_new_events_as,4
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/116a4c8340b729ffde43be33df24d417384cb28b/after/synapse_slash_handlers_slash_receipts.py,ReceiptsHandler.__init__,3
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/116a4c8340b729ffde43be33df24d417384cb28b/after/synapse_slash_handlers_slash_receipts.py,ReceiptEventSource.get_new_events,3
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/116a4c8340b729ffde43be33df24d417384cb28b/after/synapse_slash_handlers_slash_receipts.py,ReceiptEventSource.__init__,1
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/116a4c8340b729ffde43be33df24d417384cb28b/after/synapse_slash_handlers_slash_receipts.py,ReceiptEventSource.get_current_key,1
