file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._process_received_pdu,19
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler.on_receive_pdu,14
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._get_state_after_missing_prev_event,11
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._auth_and_persist_outliers,10
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._update_auth_events_for_auth,10
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler.persist_events_and_notify,9
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler.on_send_membership_event,8
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._handle_marker_event,8
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._check_event_auth,8
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler,7
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._process_pulled_event,7
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._resolve_state_at_missing_prevs,7
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._check_for_soft_fail,7
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._run_push_actions_and_persist_event,7
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._notify_persisted_event,7
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler.process_remote_join,6
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._auth_and_persist_outliers_inner,6
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler.backfill,5
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._update_context_for_auth_events,5
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._load_or_fetch_auth_events_for_event,4
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._get_remote_auth_chain_for_event,4
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._get_missing_events_for_pdu,3
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._process_pulled_events,3
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._resync_device,3
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._maybe_kick_guest_users,3
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._sanity_check_event,3
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler.__init__,2
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler.check_join_restrictions,2
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._get_state_and_persist,2
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/800ba87cc881856adae19ec40485578356398639/before/synapse_slash_handlers_slash_federation_event.py,FederationEventHandler._get_events_and_persist,1
