file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/8ef324ea6f1390876940989eacc8734fe0d15582/before/synapse_slash_push_slash_bulk_push_rule_evaluator.py,BulkPushRuleEvaluator._action_for_event_by_user,26
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/8ef324ea6f1390876940989eacc8734fe0d15582/before/synapse_slash_push_slash_bulk_push_rule_evaluator.py,_flatten_dict,20
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/8ef324ea6f1390876940989eacc8734fe0d15582/before/synapse_slash_push_slash_bulk_push_rule_evaluator.py,_should_count_as_unread,14
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/8ef324ea6f1390876940989eacc8734fe0d15582/before/synapse_slash_push_slash_bulk_push_rule_evaluator.py,BulkPushRuleEvaluator._get_rules_for_event,14
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/8ef324ea6f1390876940989eacc8734fe0d15582/before/synapse_slash_push_slash_bulk_push_rule_evaluator.py,BulkPushRuleEvaluator,11
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/8ef324ea6f1390876940989eacc8734fe0d15582/before/synapse_slash_push_slash_bulk_push_rule_evaluator.py,BulkPushRuleEvaluator._related_events,9
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/8ef324ea6f1390876940989eacc8734fe0d15582/before/synapse_slash_push_slash_bulk_push_rule_evaluator.py,BulkPushRuleEvaluator._get_power_levels_and_sender_level,8
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/8ef324ea6f1390876940989eacc8734fe0d15582/before/synapse_slash_push_slash_bulk_push_rule_evaluator.py,BulkPushRuleEvaluator.action_for_events_by_user,4
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/8ef324ea6f1390876940989eacc8734fe0d15582/before/synapse_slash_push_slash_bulk_push_rule_evaluator.py,_is_simple_value,3
c:/src/pylint-intervention/data/in_the_wild\versions/synapse/8ef324ea6f1390876940989eacc8734fe0d15582/before/synapse_slash_push_slash_bulk_push_rule_evaluator.py,BulkPushRuleEvaluator.__init__,1
