file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/d02bd4f33351c8fe80bcd603dd5c491759f67f65/before/src_slash_transformers_slash_models_slash_openai_slash_modeling_tf_openai.py,TFOpenAIGPTMainLayer.call,21
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/d02bd4f33351c8fe80bcd603dd5c491759f67f65/before/src_slash_transformers_slash_models_slash_openai_slash_modeling_tf_openai.py,TFOpenAIGPTForSequenceClassification.call,10
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/d02bd4f33351c8fe80bcd603dd5c491759f67f65/before/src_slash_transformers_slash_models_slash_openai_slash_modeling_tf_openai.py,TFOpenAIGPTDoubleHeadsModel.call,7
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/d02bd4f33351c8fe80bcd603dd5c491759f67f65/before/src_slash_transformers_slash_models_slash_openai_slash_modeling_tf_openai.py,TFOpenAIGPTForSequenceClassification,6
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/d02bd4f33351c8fe80bcd603dd5c491759f67f65/before/src_slash_transformers_slash_models_slash_openai_slash_modeling_tf_openai.py,TFAttention._attn,5
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/d02bd4f33351c8fe80bcd603dd5c491759f67f65/before/src_slash_transformers_slash_models_slash_openai_slash_modeling_tf_openai.py,TFOpenAIGPTMainLayer,5
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/d02bd4f33351c8fe80bcd603dd5c491759f67f65/before/src_slash_transformers_slash_models_slash_openai_slash_modeling_tf_openai.py,TFOpenAIGPTLMHeadModel.call,4
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/d02bd4f33351c8fe80bcd603dd5c491759f67f65/before/src_slash_transformers_slash_models_slash_openai_slash_modeling_tf_openai.py,TFOpenAIGPTDoubleHeadsModel,4
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/d02bd4f33351c8fe80bcd603dd5c491759f67f65/before/src_slash_transformers_slash_models_slash_openai_slash_modeling_tf_openai.py,TFOpenAIGPTModel,3
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/d02bd4f33351c8fe80bcd603dd5c491759f67f65/before/src_slash_transformers_slash_models_slash_openai_slash_modeling_tf_openai.py,TFOpenAIGPTModel.serving_output,3
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/d02bd4f33351c8fe80bcd603dd5c491759f67f65/before/src_slash_transformers_slash_models_slash_openai_slash_modeling_tf_openai.py,TFOpenAIGPTLMHeadModel,3
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/d02bd4f33351c8fe80bcd603dd5c491759f67f65/before/src_slash_transformers_slash_models_slash_openai_slash_modeling_tf_openai.py,TFOpenAIGPTLMHeadModel.serving_output,3
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/d02bd4f33351c8fe80bcd603dd5c491759f67f65/before/src_slash_transformers_slash_models_slash_openai_slash_modeling_tf_openai.py,TFOpenAIGPTDoubleHeadsModel.serving_output,3
