file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/f0aacc140bff272b12d234d598439e44074b67e4/after/src_slash_transformers_slash_models_slash_blenderbot_small_slash_modeling_tf_blenderbot_small.py,TFBlenderbotSmallDecoder.call,32
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/f0aacc140bff272b12d234d598439e44074b67e4/after/src_slash_transformers_slash_models_slash_blenderbot_small_slash_modeling_tf_blenderbot_small.py,TFBlenderbotSmallEncoder.call,21
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/f0aacc140bff272b12d234d598439e44074b67e4/after/src_slash_transformers_slash_models_slash_blenderbot_small_slash_modeling_tf_blenderbot_small.py,TFBlenderbotSmallAttention.call,12
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/f0aacc140bff272b12d234d598439e44074b67e4/after/src_slash_transformers_slash_models_slash_blenderbot_small_slash_modeling_tf_blenderbot_small.py,TFBlenderbotSmallDecoder,10
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/f0aacc140bff272b12d234d598439e44074b67e4/after/src_slash_transformers_slash_models_slash_blenderbot_small_slash_modeling_tf_blenderbot_small.py,TFBlenderbotSmallMainLayer.call,10
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/f0aacc140bff272b12d234d598439e44074b67e4/after/src_slash_transformers_slash_models_slash_blenderbot_small_slash_modeling_tf_blenderbot_small.py,TFBlenderbotSmallForConditionalGeneration.prepare_inputs_for_generation,10
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/f0aacc140bff272b12d234d598439e44074b67e4/after/src_slash_transformers_slash_models_slash_blenderbot_small_slash_modeling_tf_blenderbot_small.py,TFBlenderbotSmallEncoder,7
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/f0aacc140bff272b12d234d598439e44074b67e4/after/src_slash_transformers_slash_models_slash_blenderbot_small_slash_modeling_tf_blenderbot_small.py,TFBlenderbotSmallModel.serving_output,7
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/f0aacc140bff272b12d234d598439e44074b67e4/after/src_slash_transformers_slash_models_slash_blenderbot_small_slash_modeling_tf_blenderbot_small.py,TFBlenderbotSmallForConditionalGeneration.serving_output,7
c:/src/pylint-intervention/data/in_the_wild\versions/transformers/f0aacc140bff272b12d234d598439e44074b67e4/after/src_slash_transformers_slash_models_slash_blenderbot_small_slash_modeling_tf_blenderbot_small.py,TFBlenderbotSmallAttention,6
