file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,BaseMonitor.save_csv,7
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,ConnectDialog.init_ui,7
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,ContractManager.show_contracts,7
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,BaseMonitor.process_event,5
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,ConnectDialog,5
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,TradingWidget.process_tick_event,5
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,TradingWidget.update_with_cell,5
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,BaseMonitor.insert_new_row,4
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,ConnectDialog.connect,4
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,TradingWidget,4
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,TradingWidget.init_ui,4
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,TradingWidget.set_vt_symbol,4
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,TradingWidget.send_order,4
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,ContractManager,4
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,GlobalDialog.update_setting,4
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,EnumCell,3
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,DirectionCell,3
c:/src/pylint-intervention/data/in_the_wild\versions/vnpy/46470fe7435748cd71a341abaabee9285f536628/before/vnpy_slash_trader_slash_ui_slash_widget.py,PnlCell,3
