file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,SubmissionsListView.get_validated_ordering,11
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,SafePaginateListView,8
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,SubmissionsListView.get_context_data,8
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,SafePaginateListView.paginate_queryset,7
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,SubmissionsListView,5
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,SubmissionsListView.get_queryset,5
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,SubmissionsListView.get_filtering,5
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,FormPagesListView,4
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,FormPagesListView.get_queryset,4
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,SubmissionsListView.dispatch,4
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,FormPagesListView.get,3
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,FormPagesListView.get_context_data,3
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,DeleteSubmissionsView.dispatch,3
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,DeleteSubmissionsView,2
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,SubmissionsListView.get_paginate_by,2
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,SubmissionsListView.get_ordering,2
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,SubmissionsListView.render_to_response,2
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,SubmissionsListView.to_row_dict,2
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,get_submissions_list_view,1
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,DeleteSubmissionsView.get_queryset,1
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,DeleteSubmissionsView.handle_delete,1
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,DeleteSubmissionsView.get_success_url,1
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,DeleteSubmissionsView.get_context_data,1
c:/src/pylint-intervention/data/in_the_wild\versions/wagtail/d10f15e55806c6944827d801cd9c2d53f5da4186/before/wagtail_slash_contrib_slash_forms_slash_views.py,SubmissionsListView.get_filename,1
