path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
ynr\apps\people\data_removal_helpers.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
ynr\apps\popolo\migrations\0002_update_models_from_upstream.py,C0301, line-too-long,2,1, , , , , , , , 
ynr\apps\moderation_queue\views.py,C0301, line-too-long,2,1, , , , , , , , 
ynr\apps\people\migrations\0042_person_delisted.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\elections\uk\management\commands\uk_create_missing_ballots.py,C0301, line-too-long,2,1, , , , , , , , 
ynr\apps\sopn_parsing\helpers\textract_helpers.py,C0301, line-too-long,2,1, , , , , , , , 
ynr\apps\sopn_parsing\management\commands\sopn_tooling_create_official_documents.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\uk_results\management\commands\import_2015_parl_results.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\candidates\helpers\helpers.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ynr\apps\elections\api\next\api_views.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\duplicates\forms.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\elections\views.py,C0325, superfluous-parens,1,1, , , , , , , , 
ynr\apps\moderation_queue\management\commands\moderation_queue_rotate_images.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ynr\apps\people\migrations\0028_add_default_to_extra_data.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\candidates\views\other_names.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\elections\uk\lib.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\moderation_queue\helpers.py,C0325, superfluous-parens,2,1, , , , , , , , 
ynr\apps\people\merging.py,W0107,unnecessary-pass,1,1, , , , , , , , 
ynr\apps\cached_counts\report_helpers.py,C0302, too-many-lines,1,1, , , , , , , , 
ynr\apps\candidates\models\db.py,R0912, too-many-branches,1,1, , , , , , , , 
ynr\apps\moderation_queue\migrations\0013_auto_20150916_1753.py,C0301, line-too-long,2,1, , , , , , , , 
ynr\apps\popolo\migrations\0051_alter_membership_deselected_and_more.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\uk_results\migrations\0017_auto_20160429_0938.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ynr\apps\wombles\forms.py,C0301, line-too-long,2,1, , , , , , , , 
ynr\apps\uk_results\models.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\official_documents\management\commands\official_documents_import_sopns.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ynr\apps\candidatebot\helpers.py,R0912, too-many-branches,1,1, , , , , , , , 
ynr\apps\moderation_queue\forms.py,C0301, line-too-long,2,1, , , , , , , , 
ynr\apps\people\migrations\0044_populate_biography_timestamp.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ynr\apps\uk_results\views\base_views.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\api\v09\views.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\elections\uk\every_election.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\moderation_queue\migrations\0032_update_copyright.py,C0301, line-too-long,2,1, , , , , , , , 
ynr\apps\moderation_queue\slack.py,R0912, too-many-branches,1,1, , , , , , , , 
ynr\apps\people\forms\forms.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\parties\migrations\0022_party_nations.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\elections\migrations\0017_election_modgov_url.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\facebook_data\migrations\0001_initial.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\candidatebot\management\commands\candidatebot_import_next_ppcs.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ynr\apps\moderation_queue\review_required_helper.py,R0911, too-many-return-statements,1,1, , , , , , , , 
ynr\apps\official_documents\forms.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\elections\uk\views\frontpage.py,C0325, superfluous-parens,1,1, , , , , , , , 
ynr\apps\popolo\migrations\0036_add_party_name_and_description.py,C0301, line-too-long,2,1, , , , , , , , 
ynr\apps\candidates\models\popolo_extra.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\elections\models.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\elections\migrations\0002_auto_20151012_1731.py,R0912, too-many-branches,1,1, , , , , , , , 
ynr\apps\candidatebot\management\commands\candidatebot_import_from_csv.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\elections\migrations\0016_positive_int_field.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\candidates\views\people.py,C0325, superfluous-parens,1,1, , , , , , , , 
ynr\apps\uk_results\migrations\0050_candidateresult_tied_vote_winner.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\resultsbot\matchers\candidate.py,R0911, too-many-return-statements,1,1, , , , , , , , 
ynr\apps\wombles\management\commands\wombles_make_email_list_for_candidates.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\people\helpers.py,C0301, line-too-long,2,1, , , , , , , , 
ynr\apps\popolo\migrations\0049_membership_deselected.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\uk_results\management\commands\import_2010_parl_results.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\people\migrations\0008_person_identifier_model.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\elections\migrations\0012_election_people_elected_per_post.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\cached_counts\management\commands\report_for_date.py,C0301, line-too-long,1,1, , , , , , , , 
ynr\apps\moderation_queue\migrations\0023_python_3_changes.py,C0301, line-too-long,2,1, , , , , , , , 
