path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
src\ydata_profiling\model\spark\duplicates_spark.py,C0301, line-too-long,1,1, , , , , , , , 
src\ydata_profiling\report\structure\overview.py,C0301, line-too-long,2,1, , , , , , , , 
src\ydata_profiling\controller\console.py,C0301, line-too-long,2,1, , , , , , , , 
examples\features\theme_united_demo.py,C0301, line-too-long,2,1, , , , , , , , 
examples\vektis\vektis.py,C0301, line-too-long,1,1, , , , , , , , 
examples\features\images_exif.py,C0301, line-too-long,1,1, , , , , , , , 
src\ydata_profiling\report\presentation\flavours\html\container.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\ydata_profiling\serialize_report.py,C0301, line-too-long,2,1, , , , , , , , 
src\ydata_profiling\model\pandas\describe_image_pandas.py,W0401, wildcard-import,1,1, , , , , , , , 
src\ydata_profiling\report\presentation\flavours\widget\notebook.py,C0301, line-too-long,1,1, , , , , , , , 
src\ydata_profiling\model\spark\dataframe_spark.py,C0301, line-too-long,2,1, , , , , , , , 
src\ydata_profiling\visualisation\plot.py,R0912, too-many-branches,1,1, , , , , , , , 
src\ydata_profiling\compare_reports.py,R0915, too-many-statements,1,1, , , , , , , , 
src\ydata_profiling\report\structure\variables\render_file.py,C0301, line-too-long,1,1, , , , , , , , 
src\ydata_profiling\profile_report.py,R0911, too-many-return-statements,1,1, , , , , , , , 
examples\census\census.py,C0301, line-too-long,1,1, , , , , , , , 
src\ydata_profiling\model\spark\correlations_spark.py,C0301, line-too-long,2,1, , , , , , , , 
src\ydata_profiling\model\typeset.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\pandas_profiling\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
examples\rdw\rdw.py,C0301, line-too-long,1,1, , , , , , , , 
src\ydata_profiling\model\correlations.py,C0301, line-too-long,2,1, , , , , , , , 
src\ydata_profiling\report\structure\variables\render_real.py,C0301, line-too-long,1,1, , , , , , , , 
src\ydata_profiling\model\describe.py,R0915, too-many-statements,1,1, , , , , , , , 
src\ydata_profiling\report\presentation\flavours\html\duplicate.py,C0301, line-too-long,1,1, , , , , , , , 
examples\musical_instrument_reviews\review.py,C0301, line-too-long,1,1, , , , , , , , 
src\ydata_profiling\report\structure\report.py,C0301, line-too-long,2,1, , , , , , , , 
src\ydata_profiling\model\pandas\duplicates_pandas.py,C0301, line-too-long,1,1, , , , , , , , 
src\ydata_profiling\utils\common.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\ydata_profiling\report\structure\variables\render_timeseries.py,C0301, line-too-long,2,1, , , , , , , , 
examples\nza\nza.py,C0301, line-too-long,1,1, , , , , , , , 
src\ydata_profiling\model\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\ydata_profiling\model\pandas\describe_numeric_pandas.py,C0301, line-too-long,2,1, , , , , , , , 
examples\features\theme_flatly_demo.py,C0301, line-too-long,2,1, , , , , , , , 
examples\meteorites\meteorites.py,C0301, line-too-long,1,1, , , , , , , , 
src\ydata_profiling\model\spark\sample_spark.py,C0301, line-too-long,2,1, , , , , , , , 
src\ydata_profiling\report\structure\variables\render_count.py,C0301, line-too-long,1,1, , , , , , , , 
src\ydata_profiling\model\description.py,C0301, line-too-long,5,0, , , , , , , , 
src\ydata_profiling\model\pandas\imbalance_pandas.py,C0301, line-too-long,6,0, , , , , , , , 
src\ydata_profiling\model\spark\describe_numeric_spark.py,C0301, line-too-long,3,0, , , , , , , , 
src\ydata_profiling\report\formatters.py,C0301, line-too-long,3,0, , , , , , , , 
examples\integrations\great_expectations\great_expectations_example.py,C0301, line-too-long,3,0, , , , , , , , 
src\ydata_profiling\model\alerts.py,C0301, line-too-long,10,0, , , , , , , , 
examples\features\correlation_demo.py,C0301, line-too-long,3,0, , , , , , , , 
src\ydata_profiling\report\structure\variables\render_categorical.py,C0301, line-too-long,3,0, , , , , , , , 
src\ydata_profiling\visualisation\plot.py,C0301, line-too-long,1,0, , , , , , , , 
src\ydata_profiling\visualisation\plot.py,C0302, too-many-lines,1,0, , , , , , , , 
src\ydata_profiling\visualisation\plot.py,W0104, pointless-statement,1,0, , , , , , , , 
examples\features\images_cats_and_dogs.py,C0301, line-too-long,5,0, , , , , , , , 
src\ydata_profiling\compare_reports.py,C0301, line-too-long,6,0, , , , , , , , 
src\ydata_profiling\compare_reports.py,R0912, too-many-branches,1,0, , , , , , , , 
src\ydata_profiling\profile_report.py,C0301, line-too-long,9,0, , , , , , , , 
examples\features\mask_sensitive.py,C0301, line-too-long,3,0, , , , , , , , 
src\ydata_profiling\expectations_report.py,C0301, line-too-long,3,0, , , , , , , , 
src\ydata_profiling\utils\dataframe.py,C0301, line-too-long,16,0, , , , , , , , 
src\ydata_profiling\model\missing.py,C0301, line-too-long,4,0, , , , , , , , 
examples\meteorites\meteorites.py,C0325, superfluous-parens,1,0, , , , , , , , 
src\ydata_profiling\model\spark\missing_spark.py,C0301, line-too-long,7,0, , , , , , , , 
