path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
hypha\apply\funds\management\commands\sanitize_database.py,R0912, too-many-branches,1,1, , , , , , , , 
hypha\public\funds\migrations\0011_opencallindexpage.py,C0301, line-too-long,2,1, , , , , , , , 
hypha\apply\activity\tasks.py,W0718, broad-exception-caught,1,1, , , , , , , , 
hypha\apply\funds\migrations\0015_link_user_to_application.py,C0301, line-too-long,2,1, , , , , , , , 
hypha\apply\funds\views_beta.py,R0915, too-many-statements,1,1, , , , , , , , 
hypha\apply\utils\pdfs.py,C0301, line-too-long,1,1, , , , , , , , 
hypha\core\migrations\0005_alter_systemsettings_footer_content.py,C0301, line-too-long,1,1, , , , , , , , 
hypha\public\utils\migrations\0001_initial.py,C0301, line-too-long,2,1, , , , , , , , 
hypha\apply\funds\migrations\0064_group_toggle_end_block.py,C0302, too-many-lines,1,1, , , , , , , , 
hypha\apply\funds\migrations\0092_auto_20220308_0827.py,C0302, too-many-lines,1,1, , , , , , , , 
hypha\apply\funds\models\applications.py,R1719, simplifiable-if-expression,1,1, , , , , , , , 
hypha\apply\funds\tables.py,C0301, line-too-long,2,1, , , , , , , , 
hypha\apply\activity\adapters\django_messages.py,C0301, line-too-long,1,1, , , , , , , , 
hypha\apply\projects\models\project.py,W0107,unnecessary-pass,1,1, , , , , , , , 
hypha\apply\funds\migrations\0078_add_heading_block_to_form_fields_block.py,C0302, too-many-lines,1,1, , , , , , , , 
hypha\apply\projects\constants.py,C0301, line-too-long,1,1, , , , , , , , 
hypha\apply\projects\migrations\0034_multi_input_char_block.py,C0302, too-many-lines,1,1, , , , , , , , 
hypha\apply\projects\templatetags\project_tags.py,R0912, too-many-branches,1,1, , , , , , , , 
