path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
bioconda_utils\artifacts.py,C0325, superfluous-parens,1,1, , , , , , , , 
versioneer.py,R0912, too-many-branches,2,1, , , , , , , , 
bioconda_utils\aiopipe.py,W0706, try-except-raise,1,1, , , , , , , , 
bioconda_utils\bioconductor_skeleton.py,C0325, superfluous-parens,1,1, , , , , , , , 
bioconda_utils\githandler.py,W0107,unnecessary-pass,1,1, , , , , , , , 
bioconda_utils\build.py,R0915, too-many-statements,2,1, , , , , , , , 
bioconda_utils\update_pinnings.py,R0912, too-many-branches,1,1, , , , , , , , 
bioconda_utils\recipe.py,R0912, too-many-branches,2,1, , , , , , , , 
bioconda_utils\utils.py,R0912, too-many-branches,1,1, , , , , , , , 
bioconda_utils\cli.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
bioconda_utils\autobump.py,R0912, too-many-branches,1,1, , , , , , , , 
bioconda_utils\lint\__init__.py,W0718, broad-exception-caught,2,1, , , , , , , , 
bioconda_utils\githubhandler.py,C0302, too-many-lines,1,1, , , , , , , , 
bioconda_utils\artifacts.py,C0301, line-too-long,3,0, , , , , , , , 
bioconda_utils\artifacts.py,R0912, too-many-branches,1,0, , , , , , , , 
bioconda_utils\artifacts.py,R0915, too-many-statements,1,0, , , , , , , , 
bioconda_utils\artifacts.py,R1702, too-many-nested-blocks,1,0, , , , , , , , 
versioneer.py,C0302, too-many-lines,1,0, , , , , , , , 
versioneer.py,R0915, too-many-statements,2,0, , , , , , , , 
.github\quay-namespace-info.py,C0301, line-too-long,5,0, , , , , , , , 
bioconda_utils\bioconductor_skeleton.py,C0301, line-too-long,30,0, , , , , , , , 
bioconda_utils\bioconductor_skeleton.py,C0302, too-many-lines,1,0, , , , , , , , 
bioconda_utils\bioconductor_skeleton.py,R0912, too-many-branches,3,0, , , , , , , , 
bioconda_utils\bioconductor_skeleton.py,R0915, too-many-statements,3,0, , , , , , , , 
bioconda_utils\githandler.py,C0301, line-too-long,1,0, , , , , , , , 
bioconda_utils\build.py,C0301, line-too-long,4,0, , , , , , , , 
bioconda_utils\build.py,R0912, too-many-branches,3,0, , , , , , , , 
bioconda_utils\update_pinnings.py,W0718, broad-exception-caught,1,0, , , , , , , , 
bioconda_utils\lint\check_build_help.py,C0301, line-too-long,11,0, , , , , , , , 
bioconda_utils\hosters.py,C0301, line-too-long,11,0, , , , , , , , 
bioconda_utils\build_failure.py,C0301, line-too-long,15,0, , , , , , , , 
bioconda_utils\utils.py,C0301, line-too-long,6,0, , , , , , , , 
bioconda_utils\utils.py,C0302, too-many-lines,1,0, , , , , , , , 
bioconda_utils\utils.py,R0915, too-many-statements,1,0, , , , , , , , 
bioconda_utils\utils.py,W0301, unnecessary-semicolon,1,0, , , , , , , , 
bioconda_utils\cli.py,C0301, line-too-long,21,0, , , , , , , , 
bioconda_utils\cli.py,C0302, too-many-lines,1,0, , , , , , , , 
bioconda_utils\cli.py,R0912, too-many-branches,2,0, , , , , , , , 
bioconda_utils\cli.py,R0915, too-many-statements,1,0, , , , , , , , 
bioconda_utils\cli.py,W0718, broad-exception-caught,1,0, , , , , , , , 
bioconda_utils\autobump.py,C0302, too-many-lines,1,0, , , , , , , , 
bioconda_utils\lint\__init__.py,R0912, too-many-branches,1,0, , , , , , , , 
bioconda_utils\docker_utils.py,C0301, line-too-long,5,0, , , , , , , , 
bioconda_utils\githubhandler.py,R0911, too-many-return-statements,1,0, , , , , , , , 
bioconda_utils\githubhandler.py,R0912, too-many-branches,1,0, , , , , , , , 
