path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
examples\interaction\js_callbacks\slider.py,C0301, line-too-long,1,1, , , , , , , , 
examples\interaction\widgets\dropdown.py,C0301, line-too-long,1,1, , , , , , , , 
examples\reference\models\checkbox_button_server.py,C0301, line-too-long,1,1, , , , , , , , 
src\bokeh\application\application.py,C0301, line-too-long,2,1, , , , , , , , 
src\bokeh\util\dependencies.py,W0718, broad-exception-caught,1,1, , , , , , , , 
examples\interaction\widgets\datetimerangeslider.py,C0301, line-too-long,1,1, , , , , , , , 
examples\models\toolbars.py,C0301, line-too-long,1,1, , , , , , , , 
examples\server\app\selection_histogram.py,C0301, line-too-long,2,1, , , , , , , , 
src\bokeh\core\property\color.py,C0301, line-too-long,1,1, , , , , , , , 
src\bokeh\server\server.py,R0912, too-many-branches,1,1, , , , , , , , 
src\typings\selenium\webdriver\common\action_chains.pyi,C0301, line-too-long,2,1, , , , , , , , 
src\bokeh\application\handlers\code.py,C0301, line-too-long,2,1, , , , , , , , 
src\bokeh\models\map_plots.py,C0301, line-too-long,1,1, , , , , , , , 
src\bokeh\models\widgets\buttons.py,C0301, line-too-long,1,1, , , , , , , , 
src\bokeh\util\package.py,C0301, line-too-long,2,1, , , , , , , , 
examples\server\app\export_csv\main.py,C0301, line-too-long,1,1, , , , , , , , 
examples\server\app\spectrogram\main.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\bokeh\io\notebook.py,W0718, broad-exception-caught,2,1, , , , , , , , 
examples\basic\annotations\scale_bar_positioning.py,C0301, line-too-long,2,1, , , , , , , , 
examples\server\app\stocks\main.py,C0301, line-too-long,1,1, , , , , , , , 
examples\topics\stats\density.py,C0301, line-too-long,2,1, , , , , , , , 
examples\server\app\weather\main.py,C0301, line-too-long,2,1, , , , , , , , 
examples\topics\stats\pyramid.py,C0301, line-too-long,1,1, , , , , , , , 
src\bokeh\palettes.py,C0302, too-many-lines,1,1, , , , , , , , 
src\bokeh\plotting\_renderer.py,R0912, too-many-branches,1,1, , , , , , , , 
examples\interaction\tooltips\tooltip_helpbutton.py,C0301, line-too-long,1,1, , , , , , , , 
examples\interaction\widgets\autocompleteinput.py,C0301, line-too-long,1,1, , , , , , , , 
examples\plotting\us_marriages_divorces_hover.py,C0301, line-too-long,1,1, , , , , , , , 
release\credentials.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\bokeh\core\query.py,R0912, too-many-branches,1,1, , , , , , , , 
src\bokeh\driving.py,C0301, line-too-long,1,1, , , , , , , , 
src\bokeh\io\showing.py,C0301, line-too-long,2,1, , , , , , , , 
src\bokeh\settings.py,R0911, too-many-return-statements,2,1, , , , , , , , 
