path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
azurelinuxagent\common\osutil\iosxe.py,C0301, line-too-long,2,1, , , , , , , , 
azurelinuxagent\common\version.py,R0912, too-many-branches,1,1, , , , , , , , 
azurelinuxagent\common\osutil\systemd.py,C0301, line-too-long,1,1, , , , , , , , 
azurelinuxagent\ga\logcollector.py,W0718, broad-exception-caught,2,1, , , , , , , , 
azurelinuxagent\common\dhcp.py,C0325, superfluous-parens,1,1, , , , , , , , 
azurelinuxagent\pa\rdma\suse.py,R0912, too-many-branches,1,1, , , , , , , , 
azurelinuxagent\common\osutil\freebsd.py,W0718, broad-exception-caught,2,1, , , , , , , , 
azurelinuxagent\common\osutil\bigip.py,C0325, superfluous-parens,1,1, , , , , , , , 
azurelinuxagent\common\protocol\hostplugin.py,R0912, too-many-branches,1,1, , , , , , , , 
azurelinuxagent\ga\cgroupstelemetry.py,W0718, broad-exception-caught,1,1, , , , , , , , 
azurelinuxagent\common\protocol\ovfenv.py,C0301, line-too-long,1,1, , , , , , , , 
azurelinuxagent\common\protocol\wire.py,C0302, too-many-lines,1,1, , , , , , , , 
azurelinuxagent\common\utils\textutil.py,C0301, line-too-long,2,1, , , , , , , , 
azurelinuxagent\common\osutil\redhat.py,W0718, broad-exception-caught,1,1, , , , , , , , 
azurelinuxagent\common\protocol\goal_state.py,W0718, broad-exception-caught,2,1, , , , , , , , 
azurelinuxagent\ga\monitor.py,W0718, broad-exception-caught,2,1, , , , , , , , 
azurelinuxagent\common\protocol\healthservice.py,W0718, broad-exception-caught,1,1, , , , , , , , 
azurelinuxagent\ga\exthandlers.py,C0302, too-many-lines,1,1, , , , , , , , 
azurelinuxagent\common\protocol\extensions_goal_state_factory.py,C0301, line-too-long,2,1, , , , , , , , 
azurelinuxagent\pa\provision\cloudinit.py,C0301, line-too-long,2,1, , , , , , , , 
azurelinuxagent\agent.py,C0325, superfluous-parens,2,1, , , , , , , , 
azurelinuxagent\pa\rdma\factory.py,C0301, line-too-long,1,1, , , , , , , , 
azurelinuxagent\common\osutil\ubuntu.py,C0301, line-too-long,1,1, , , , , , , , 
azurelinuxagent\common\protocol\extensions_goal_state_from_vm_settings.py,R0912, too-many-branches,2,1, , , , , , , , 
azurelinuxagent\ga\ga_version_updater.py,W0718, broad-exception-caught,2,1, , , , , , , , 
azurelinuxagent\pa\rdma\ubuntu.py,R0911, too-many-return-statements,1,1, , , , , , , , 
azurelinuxagent\common\utils\fileutil.py,W0718, broad-exception-caught,2,1, , , , , , , , 
azurelinuxagent\daemon\resourcedisk\default.py,W0718, broad-exception-caught,1,1, , , , , , , , 
azurelinuxagent\ga\cgroupapi.py,W0718, broad-exception-caught,2,1, , , , , , , , 
azurelinuxagent\common\osutil\openbsd.py,R0912, too-many-branches,1,1, , , , , , , , 
azurelinuxagent\common\utils\restutil.py,W0718, broad-exception-caught,1,1, , , , , , , , 
azurelinuxagent\common\AgentGlobals.py,C0301, line-too-long,1,1, , , , , , , , 
azurelinuxagent\common\event.py,C0325, superfluous-parens,1,1, , , , , , , , 
azurelinuxagent\pa\provision\default.py,C0301, line-too-long,2,1, , , , , , , , 
azurelinuxagent\pa\rdma\rdma.py,W0718, broad-exception-caught,1,1, , , , , , , , 
azurelinuxagent\common\protocol\extensions_goal_state_from_extensions_config.py,W0718, broad-exception-caught,2,1, , , , , , , , 
azurelinuxagent\common\osutil\factory.py,R0911, too-many-return-statements,1,1, , , , , , , , 
azurelinuxagent\common\protocol\extensions_goal_state.py,W0718, broad-exception-caught,1,1, , , , , , , , 
azurelinuxagent\common\osutil\debian.py,C0301, line-too-long,1,1, , , , , , , , 
azurelinuxagent\pa\deprovision\ubuntu.py,C0301, line-too-long,1,1, , , , , , , , 
azurelinuxagent\common\osutil\nsbsd.py,C0301, line-too-long,2,1, , , , , , , , 
azurelinuxagent\common\protocol\imds.py,W0718, broad-exception-caught,2,1, , , , , , , , 
azurelinuxagent\ga\send_telemetry_events.py,W0718, broad-exception-caught,2,1, , , , , , , , 
azurelinuxagent\ga\cgroupconfigurator.py,C0302, too-many-lines,1,1, , , , , , , , 
azurelinuxagent\ga\periodic_operation.py,W0718, broad-exception-caught,1,1, , , , , , , , 
