path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
chatcommunicate.py,R0915, too-many-statements,1,1, , , , , , , , 
ws.py,C0325, superfluous-parens,1,1, , , , , , , , 
excepthook.py,W0706, try-except-raise,1,1, , , , , , , , 
blacklists.py,W0718, broad-exception-caught,1,1, , , , , , , , 
metasmoke.py,R0912, too-many-branches,1,1, , , , , , , , 
queue_timings.py,C0301, line-too-long,2,1, , , , , , , , 
findspam.py,R0911, too-many-return-statements,2,1, , , , , , , , 
spamhandling.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
gitmanager.py,C0325, superfluous-parens,1,1, , , , , , , , 
bodyfetcher.py,C0302, too-many-lines,1,1, , , , , , , , 
classes\_Post.py,W0107,unnecessary-pass,1,1, , , , , , , , 
metasmoke_cache.py,W0718, broad-exception-caught,1,1, , , , , , , , 
deletionwatcher.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
globalvars.py,W0104, pointless-statement,1,1, , , , , , , , 
phone_numbers.py,R0915, too-many-statements,1,1, , , , , , , , 
_Git_Windows.py,C0325, superfluous-parens,1,1, , , , , , , , 
chatcommands.py,C0302, too-many-lines,1,1, , , , , , , , 
parsing.py,C0301, line-too-long,2,1, , , , , , , , 
recently_scanned_posts.py,W0706, try-except-raise,1,1, , , , , , , , 
helpers.py,R0912, too-many-branches,1,1, , , , , , , , 
editwatcher.py,R0912, too-many-branches,1,1, , , , , , , , 
datahandling.py,R0912, too-many-branches,1,1, , , , , , , , 
chatcommunicate.py,C0301, line-too-long,50,0, , , , , , , , 
chatcommunicate.py,R0911, too-many-return-statements,2,0, , , , , , , , 
chatcommunicate.py,R0912, too-many-branches,3,0, , , , , , , , 
chatcommunicate.py,R1702, too-many-nested-blocks,1,0, , , , , , , , 
chatcommunicate.py,W0718, broad-exception-caught,3,0, , , , , , , , 
ws.py,C0301, line-too-long,28,0, , , , , , , , 
ws.py,W0718, broad-exception-caught,2,0, , , , , , , , 
number_homoglyphs.py,C0301, line-too-long,53,0, , , , , , , , 
classes\feedback.py,C0301, line-too-long,4,0, , , , , , , , 
excepthook.py,C0301, line-too-long,1,0, , , , , , , , 
excepthook.py,W0718, broad-exception-caught,1,0, , , , , , , , 
blacklists.py,C0301, line-too-long,8,0, , , , , , , , 
metasmoke.py,C0301, line-too-long,55,0, , , , , , , , 
metasmoke.py,R0915, too-many-statements,1,0, , , , , , , , 
metasmoke.py,W0718, broad-exception-caught,10,0, , , , , , , , 
apigetpost.py,C0301, line-too-long,4,0, , , , , , , , 
findspam.py,C0301, line-too-long,256,0, , , , , , , , 
findspam.py,C0302, too-many-lines,1,0, , , , , , , , 
findspam.py,C0325, superfluous-parens,1,0, , , , , , , , 
findspam.py,R0912, too-many-branches,2,0, , , , , , , , 
findspam.py,R0915, too-many-statements,1,0, , , , , , , , 
socketscience.py,C0301, line-too-long,9,0, , , , , , , , 
spamhandling.py,C0301, line-too-long,24,0, , , , , , , , 
spamhandling.py,R0912, too-many-branches,1,0, , , , , , , , 
spamhandling.py,W0718, broad-exception-caught,1,0, , , , , , , , 
gitmanager.py,C0301, line-too-long,43,0, , , , , , , , 
gitmanager.py,R0911, too-many-return-statements,2,0, , , , , , , , 
gitmanager.py,R0912, too-many-branches,2,0, , , , , , , , 
gitmanager.py,R0915, too-many-statements,1,0, , , , , , , , 
gitmanager.py,W0401, wildcard-import,1,0, , , , , , , , 
gitmanager.py,W0718, broad-exception-caught,2,0, , , , , , , , 
bodyfetcher.py,C0301, line-too-long,100,0, , , , , , , , 
bodyfetcher.py,C0325, superfluous-parens,2,0, , , , , , , , 
bodyfetcher.py,R0912, too-many-branches,4,0, , , , , , , , 
bodyfetcher.py,R0915, too-many-statements,3,0, , , , , , , , 
bodyfetcher.py,R1702, too-many-nested-blocks,2,0, , , , , , , , 
bodyfetcher.py,W0706, try-except-raise,4,0, , , , , , , , 
bodyfetcher.py,W0718, broad-exception-caught,5,0, , , , , , , , 
flovis.py,C0301, line-too-long,4,0, , , , , , , , 
classes\_Post.py,C0301, line-too-long,6,0, , , , , , , , 
metasmoke_cache.py,C0301, line-too-long,29,0, , , , , , , , 
deletionwatcher.py,C0301, line-too-long,21,0, , , , , , , , 
globalvars.py,C0301, line-too-long,34,0, , , , , , , , 
