path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
portality\api\current\data_objects\journal.py,C0301, line-too-long,1,1, , , , , , , , 
portality\events\consumers\update_request_publisher_assigned_notify.py,C0301, line-too-long,2,1, , , , , , , , 
portality\migrate\20220915_3362_ur_relabelling\functions.py,R0911, too-many-return-statements,1,1, , , , , , , , 
portality\scripts\not_in_doaj_with_articles.py,C0301, line-too-long,2,1, , , , , , , , 
portality\tasks\public_data_dump.py,W0107,unnecessary-pass,1,1, , , , , , , , 
portality\view\openurl.py,C0301, line-too-long,2,1, , , , , , , , 
portality\events\consumers\application_editor_inprogress_notify.py,C0301, line-too-long,1,1, , , , , , , , 
portality\models\news.py,C0301, line-too-long,1,1, , , , , , , , 
portality\tasks\journal_autochecks.py,W0107,unnecessary-pass,1,1, , , , , , , , 
portality\scripts\rejected_applications.py,C0301, line-too-long,2,1, , , , , , , , 
portality\tasks\article_bulk_create.py,C0301, line-too-long,1,1, , , , , , , , 
portality\view\query.py,C0301, line-too-long,1,1, , , , , , , , 
portality\events\consumers\update_request_publisher_rejected_notify.py,C0301, line-too-long,1,1, , , , , , , , 
portality\tasks\harvester_helpers\epmc\models.py,W0107,unnecessary-pass,1,1, , , , , , , , 
portality\migrate\licenses\missed_journals.py,C0301, line-too-long,1,1, , , , , , , , 
portality\migrate\tick\check_tick.py,C0301, line-too-long,1,1, , , , , , , , 
portality\scripts\articles_identical_issns.py,C0301, line-too-long,1,1, , , , , , , , 
portality\scripts\githubpri\github_prioritisation.py,C0301, line-too-long,2,1, , , , , , , , 
deploy\kibana_machine\prune_indexes.py,C0301, line-too-long,1,1, , , , , , , , 
portality\migrate\20210906_1779_ur_labelling\functions.py,R0911, too-many-return-statements,1,1, , , , , , , , 
portality\tasks\article_bulk_delete.py,W0107,unnecessary-pass,1,1, , , , , , , , 
portality\tasks\harvester.py,W0107,unnecessary-pass,1,1, , , , , , , , 
portality\events\consumer_utils.py,C0301, line-too-long,1,1, , , , , , , , 
portality\migrate\2966_add_oa_start_date_from_backup\find_oa_start_records.py,C0301, line-too-long,2,1, , , , , , , , 
