path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
srv\isc-agent\settings.py,C0301, line-too-long,1,1, , , , , , , , 
bin\tcp-honeypot.py,W0718, broad-exception-caught,1,1, , , , , , , , 
srv\dshield\access_log_parser.py,C0301, line-too-long,1,1, , , , , , , , 
srv\isc-agent\plugins\tcp\http\schemas.py,C0301, line-too-long,1,1, , , , , , , , 
srv\dshield\fwlogparser.py,C0301, line-too-long,1,1, , , , , , , , 
srv\isc-agent\plugins\tcp\http\models.py,W0301, unnecessary-semicolon,1,1, , , , , , , , 
srv\isc-agent\plugins\tcp\http\main.py,C0301, line-too-long,5,0, , , , , , , , 
bin\tcp-honeypot.py,C0301, line-too-long,39,0, , , , , , , , 
bin\tcp-honeypot.py,R0912, too-many-branches,2,0, , , , , , , , 
bin\tcp-honeypot.py,R0915, too-many-statements,2,0, , , , , , , , 
bin\tcp-honeypot.py,R1702, too-many-nested-blocks,5,0, , , , , , , , 
srv\dshield\weblogsubmit.py,C0301, line-too-long,5,0, , , , , , , , 
srv\dshield\fwlogparser.py,C0325, superfluous-parens,3,0, , , , , , , , 
srv\dshield\fwlogparser.py,R0912, too-many-branches,1,0, , , , , , , , 
srv\dshield\fwlogparser.py,R0915, too-many-statements,1,0, , , , , , , , 
srv\dshield\fwlogparser.py,W0301, unnecessary-semicolon,2,0, , , , , , , , 
srv\isc-agent\plugins\tcp\http\models.py,C0301, line-too-long,4,0, , , , , , , , 
srv\dshield\DShield.py,C0301, line-too-long,6,0, , , , , , , , 
