path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
quiz\models\question.py,C0301, line-too-long,1,1, , , , , , , , 
reports\migrations\0006_viewusercoursecompletepercent.py,C0301, line-too-long,1,1, , , , , , , , 
reports\views\course_completion_rates.py,C0325, superfluous-parens,1,1, , , , , , , , 
oppia\uploader.py,W0718, broad-exception-caught,1,1, , , , , , , , 
oppia\management\commands\external_storage_sync.py,R0912, too-many-branches,1,1, , , , , , , , 
viz\middleware.py,C0301, line-too-long,1,1, , , , , , , , 
profile\views\activity.py,C0301, line-too-long,2,1, , , , , , , , 
reports\views\lang_activity.py,C0301, line-too-long,2,1, , , , , , , , 
oppiamobile\settings.py,W0401, wildcard-import,2,1, , , , , , , , 
profile\admin.py,C0301, line-too-long,1,1, , , , , , , , 
reports\views\active_users.py,C0301, line-too-long,1,1, , , , , , , , 
oppia\forms\activity_search.py,C0325, superfluous-parens,1,1, , , , , , , , 
summary\admin.py,C0301, line-too-long,1,1, , , , , , , , 
summary\models\course_daily_stats.py,C0301, line-too-long,1,1, , , , , , , , 
reports\migrations\0007_viewuserquizscores.py,C0301, line-too-long,1,1, , , , , , , , 
quiz\management\commands\find_course_from_quiz.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
summary\models\user_course_summary.py,C0325, superfluous-parens,2,1, , , , , , , , 
oppia\migrations\0049_auto_20220601_1136.py,C0301, line-too-long,2,1, , , , , , , , 
oppiamobile\settings_base.py,C0301, line-too-long,2,1, , , , , , , , 
av\views.py,C0301, line-too-long,1,1, , , , , , , , 
profile\mixins\ExportAsCSVMixin.py,C0301, line-too-long,2,1, , , , , , , , 
oppia\permissions.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
activitylog\views.py,C0325, superfluous-parens,1,1, , , , , , , , 
av\urls.py,C0301, line-too-long,1,1, , , , , , , , 
api\urls.py,C0301, line-too-long,1,1, , , , , , , , 
oppia\migrations\0051_alter_course_status.py,C0301, line-too-long,1,1, , , , , , , , 
summary\models\user_course_daily_summary.py,C0301, line-too-long,1,1, , , , , , , , 
helpers\mixins\FormsetView.py,C0301, line-too-long,2,1, , , , , , , , 
oppia\migrations\0053_auto_20220803_1725.py,C0301, line-too-long,2,1, , , , , , , , 
oppia\views\course.py,C0301, line-too-long,2,1, , , , , , , , 
oppia\context_processors.py,C0301, line-too-long,1,1, , , , , , , , 
reports\views\completion_rates.py,C0301, line-too-long,1,1, , , , , , , , 
quiz\views.py,C0301, line-too-long,2,1, , , , , , , , 
summary\models\user_points_summary.py,C0325, superfluous-parens,1,1, , , , , , , , 
oppia\models\main.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
oppia\migrations\0044_auto_20220310_0656.py,C0301, line-too-long,1,1, , , , , , , , 
oppia\views\activity.py,C0301, line-too-long,2,1, , , , , , , , 
profile\views\manage.py,W0718, broad-exception-caught,1,1, , , , , , , , 
datarecovery\migrations\0001_initial.py,C0301, line-too-long,1,1, , , , , , , , 
helpers\ajax.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
oppia\migrations\0048_alter_course_status.py,C0301, line-too-long,2,1, , , , , , , , 
profile\forms\profile.py,C0301, line-too-long,1,1, , , , , , , , 
profile\views\quiz.py,C0301, line-too-long,2,1, , , , , , , , 
api\resources\tracker.py,R0912, too-many-branches,2,1, , , , , , , , 
quiz\models\quiz_models.py,R1703, simplifiable-if-statement,2,1, , , , , , , , 
profile\migrations\0005_userprofile_exclude_from_reporting.py,C0301, line-too-long,1,1, , , , , , , , 
profile\utils.py,C0301, line-too-long,1,1, , , , , , , , 
manage.py,C0301, line-too-long,1,1, , , , , , , , 
oppia\constants.py,C0301, line-too-long,2,1, , , , , , , , 
api\publish.py,C0301, line-too-long,2,1, , , , , , , , 
api\resources\profile.py,C0301, line-too-long,1,1, , , , , , , , 
oppia\management\commands\anonymize.py,R0915, too-many-statements,1,1, , , , , , , , 
profile\views\feedback.py,C0301, line-too-long,1,1, , , , , , , , 
reports\views\time_spent.py,C0301, line-too-long,2,1, , , , , , , , 
summary\migrations\0015_coursedailystats_summary_cou_course__15569d_idx.py,C0301, line-too-long,1,1, , , , , , , , 
oppia\urls.py,C0301, line-too-long,9,0, , , , , , , , 
summary\migrations\0012_usercoursedailysummary.py,C0301, line-too-long,3,0, , , , , , , , 
oppia\uploader.py,C0301, line-too-long,2,0, , , , , , , , 
oppia\uploader.py,R0915, too-many-statements,1,0, , , , , , , , 
oppia\management\commands\external_storage_sync.py,C0301, line-too-long,6,0, , , , , , , , 
oppia\utils\filters.py,C0301, line-too-long,3,0, , , , , , , , 
profile\urls.py,C0301, line-too-long,3,0, , , , , , , , 
oppia\forms\activity_search.py,C0301, line-too-long,2,0, , , , , , , , 
reports\views\inactive_users.py,C0301, line-too-long,3,0, , , , , , , , 
quiz\management\commands\find_course_from_quiz.py,C0301, line-too-long,2,0, , , , , , , , 
quiz\management\commands\find_course_from_quiz.py,R0912, too-many-branches,1,0, , , , , , , , 
quiz\management\commands\find_course_from_quiz.py,W0718, broad-exception-caught,1,0, , , , , , , , 
summary\models\user_course_summary.py,C0301, line-too-long,3,0, , , , , , , , 
oppia\migrations\0054_cohort_criteria.py,C0301, line-too-long,3,0, , , , , , , , 
api\resources\category.py,C0301, line-too-long,4,0, , , , , , , , 
activitylog\views.py,C0301, line-too-long,6,0, , , , , , , , 
oppia\views\home.py,C0301, line-too-long,8,0, , , , , , , , 
oppia\mixins\PermissionMixins.py,C0301, line-too-long,6,0, , , , , , , , 
viz\migrations\__init__.py,R0801, duplicate-code,517,0, , , , , , , , 
oppia\models\cohorts.py,C0301, line-too-long,3,0, , , , , , , , 
summary\management\commands\update_summaries.py,C0301, line-too-long,8,0, , , , , , , , 
oppia\models\main.py,C0301, line-too-long,4,0, , , , , , , , 
api\resources\tracker.py,C0301, line-too-long,1,0, , , , , , , , 
profile\models.py,C0301, line-too-long,4,0, , , , , , , , 
api\resources\course.py,C0301, line-too-long,3,0, , , , , , , , 
datarecovery\models.py,C0301, line-too-long,4,0, , , , , , , , 
api\publish.py,R0911, too-many-return-statements,1,0, , , , , , , , 
oppia\migrations\0047_auto_20220503_0838.py,C0301, line-too-long,4,0, , , , , , , , 
