path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_command.py,C0301, line-too-long,2,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_software_image.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_ssl_certificate.py,C0301, line-too-long,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigiq_application_fasthttp.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigiq_application_https_waf.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\lookup\bigiq_license.py,C0301, line-too-long,2,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_device_ha_group.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_firewall_dos_vector.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_ike_peer.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_monitor_https.py,C0301, line-too-long,2,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_provision_async.py,C0302, too-many-lines,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_trunk.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_ucs_fetch.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_profile_persistence_universal.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_static_route.py,C0301, line-too-long,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_tunnel.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_virtual_server.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_hostname.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_monitor_gateway_icmp.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\module_utils\teem.py,C0301, line-too-long,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_apm_policy_import.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_gtm_pool.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_ipsec_policy.py,R0912, too-many-branches,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_provision.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_device_info.py,R0911, too-many-return-statements,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_message_routing_peer.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_profile_client_ssl.py,C0302, too-many-lines,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_asm_policy_fetch.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_profile_http.py,C0302, too-many-lines,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigiq_device_discovery.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_apm_network_access.py,C0302, too-many-lines,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_interface.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_vcmp_guest.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_management_route.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_policy_rule.py,C0302, too-many-lines,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_user.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_device_ntp.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_gtm_virtual_server.py,C0302, too-many-lines,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_remote_role.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_snmp.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_device_auth.py,C0301, line-too-long,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_monitor_http.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_pool_member.py,C0302, too-many-lines,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_remote_syslog.py,C0301, line-too-long,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_wait.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_firewall_rule.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_profile_udp.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_device_license.py,W0107,unnecessary-pass,2,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_firewall_dos_profile.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_log_destination.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigiq_regkey_license_assignment.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_data_group.py,C0302, too-many-lines,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_device_certificate.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_file_copy.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_firewall_policy.py,C0301, line-too-long,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_asm_policy_server_technology.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_firewall_rule_list.py,C0301, line-too-long,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_log_publisher.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_profile_analytics.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_snmp_community.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_ssl_key_cert.py,C0301, line-too-long,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\module_utils\icontrol.py,C0301, line-too-long,2,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_irule.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_monitor_oracle.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_remote_user.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_ssl_key.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_gtm_monitor_https.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_iapp_service.py,R0912, too-many-branches,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_message_routing_router.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_pool.py,C0302, too-many-lines,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_profile_oneconnect.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_device_auth_ldap.py,C0301, line-too-long,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_firewall_global_rules.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_gtm_dns_listener.py,C0301, line-too-long,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_gtm_server.py,C0302, too-many-lines,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_software_update.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_gtm_monitor_tcp_half_open.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_gtm_wide_ip.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_message_routing_route.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_qkview.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_traffic_selector.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\module_utils\urls.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_profile_http_compression.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_device_dns.py,C0301, line-too-long,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_gtm_topology_region.py,C0301, line-too-long,2,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_monitor_snmp_dca.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_ucs.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_vlan.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigiq_utility_license_assignment.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_asm_dos_application.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_snat_pool.py,C0301, line-too-long,2,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_monitor_external.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_profile_persistence_cookie.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_sys_global.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_monitor_tcp_echo.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_firewall_address_list.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_lx_package.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_monitor_icmp.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_firewall_schedule.py,C0301, line-too-long,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_ltm_global.py,C0301, line-too-long,2,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_virtual_address.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigiq_application_fastl4_tcp.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_device_trust.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_gtm_pool_member.py,C0302, too-many-lines,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_profile_ftp.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_asm_policy_import.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_cli_alias.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_device_connectivity.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_device_httpd.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\module_utils\ipaddress.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_cgnat_lsn_pool.py,C0302, too-many-lines,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigiq_utility_license.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_cli_script.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_gtm_datacenter.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_snat_translation.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_firewall_log_profile_network.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_monitor_smtp.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_profile_tcp.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigiq_application_http.py,W0718, broad-exception-caught,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_message_routing_protocol.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_timer_policy.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigiq_application_https_offload.py,R0912, too-many-branches,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\module_utils\common.py,C0301, line-too-long,2,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_message_routing_transport_config.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_gtm_monitor_tcp.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_apm_acl.py,R0912, too-many-branches,2,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_gtm_global.py,C0301, line-too-long,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_gtm_monitor_external.py,C0301, line-too-long,2,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_snmp_trap.py,R1703, simplifiable-if-statement,2,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_asm_policy_manage.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_network_globals.py,C0302, too-many-lines,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_policy.py,R0911, too-many-return-statements,1,1, , , , , , , , 
devtools\stubs\library_module.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_apm_policy_fetch.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_device_syslog.py,W0706, try-except-raise,1,1, , , , , , , , 
ansible_collections\f5networks\f5_modules\plugins\modules\bigip_firewall_port_list.py,W0706, try-except-raise,1,1, , , , , , , , 
