path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
CPAC\distortion_correction\utils.py,R0912, too-many-branches,1,1, , , , , , , , 
CPAC\registration\output_func_to_standard.py,R0912, too-many-branches,2,1, , , , , , , , 
CPAC\connectome\connectivity_matrix.py,C0325, superfluous-parens,1,1, , , , , , , , 
CPAC\pipeline\cpac_ga_model_generator.py,R0912, too-many-branches,2,1, , , , , , , , 
CPAC\registration\utils.py,R0912, too-many-branches,2,1, , , , , , , , 
CPAC\utils\symlinks.py,R0912, too-many-branches,1,1, , , , , , , , 
dev\docker_data\run.py,C0325, superfluous-parens,1,1, , , , , , , , 
CPAC\pipeline\nipype_pipeline_engine\engine.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
CPAC\__main__.py,C0301, line-too-long,1,1, , , , , , , , 
CPAC\resources\templates\lookup_table.py,C0301, line-too-long,1,1, , , , , , , , 
CPAC\qc\qc.py,W0107,unnecessary-pass,1,1, , , , , , , , 
CPAC\sca\utils.py,C0301, line-too-long,2,1, , , , , , , , 
CPAC\surface\surf_preproc.py,C0302, too-many-lines,1,1, , , , , , , , 
CPAC\registration\registration.py,R0912, too-many-branches,2,1, , , , , , , , 
CPAC\utils\configuration\configuration.py,R0912, too-many-branches,1,1, , , , , , , , 
CPAC\utils\trimmer.py,R0912, too-many-branches,1,1, , , , , , , , 
CPAC\utils\strategy.py,R0915, too-many-statements,1,1, , , , , , , , 
CPAC\func_preproc\func_preproc.py,C0302, too-many-lines,1,1, , , , , , , , 
CPAC\timeseries\timeseries_analysis.py,C0302, too-many-lines,1,1, , , , , , , , 
CPAC\utils\build_data_config.py,C0301, line-too-long,1,1, , , , , , , , 
CPAC\vmhc\vmhc.py,W0401, wildcard-import,2,1, , , , , , , , 
CPAC\easy_thresh\easy_thresh.py,R0915, too-many-statements,1,1, , , , , , , , 
CPAC\pipeline\cpac_randomise_pipeline.py,C0301, line-too-long,2,1, , , , , , , , 
CPAC\utils\configuration\yaml_template.py,R0912, too-many-branches,1,1, , , , , , , , 
CPAC\anat_preproc\utils.py,C0325, superfluous-parens,2,1, , , , , , , , 
CPAC\nuisance\utils\__init__.py,R0912, too-many-branches,1,1, , , , , , , , 
CPAC\surface\PostFreeSurfer\surf_reho.py,C0301, line-too-long,1,1, , , , , , , , 
CPAC\utils\extract_data_multiscan.py,R0915, too-many-statements,1,1, , , , , , , , 
CPAC\info.py,C0301, line-too-long,1,1, , , , , , , , 
CPAC\pipeline\engine.py,C0302, too-many-lines,1,1, , , , , , , , 
CPAC\network_centrality\network_centrality.py,R0912, too-many-branches,1,1, , , , , , , , 
CPAC\unet\dataset.py,R0915, too-many-statements,1,1, , , , , , , , 
CPAC\seg_preproc\utils.py,C0325, superfluous-parens,1,1, , , , , , , , 
CPAC\cwas\pipeline.py,C0301, line-too-long,1,1, , , , , , , , 
