path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
Modules\Weladee_Attendances\models\sync\weladee_base.py,C0325, superfluous-parens,1,1, , , , , , , , 
Modules\Weladee_Attendances_job\models\weladee_job_app.py,C0301, line-too-long,2,1, , , , , , , , 
Modules\Weladee_Attendances\models\weladee_employee.py,R0912, too-many-branches,2,1, , , , , , , , 
Modules\Weladee_Attendances\models\weladee_position.py,W0718, broad-exception-caught,2,1, , , , , , , , 
Modules\Weladee_Attendances_attendance\models\weladee_attendance_sync.py,C0301, line-too-long,1,1, , , , , , , , 
Modules\Weladee_Attendances_holiday\models\weladee_attendance_sync.py,C0301, line-too-long,2,1, , , , , , , , 
Modules\Weladee_Attendances_timesheet\models\weladee_worktype.py,C0301, line-too-long,1,1, , , , , , , , 
Modules\Weladee_Attendances\grpcproto\job_pb2_grpc.py,C0301, line-too-long,1,1, , , , , , , , 
Modules\Weladee_Attendances_expense\models\weladee_expense.py,C0301, line-too-long,2,1, , , , , , , , 
Modules\Weladee_Attendances\models\sync\weladee_manager.py,W0718, broad-exception-caught,2,1, , , , , , , , 
Modules\Weladee_Attendances_skill\models\sync\weladee_skill_level.py,W0718, broad-exception-caught,2,1, , , , , , , , 
Modules\Weladee_Attendances\models\weladee_attendance_form.py,C0301, line-too-long,2,1, , , , , , , , 
Modules\Weladee_Attendances_job\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
Modules\Weladee_Attendances_skill\models\sync\weladee_skill.py,W0718, broad-exception-caught,2,1, , , , , , , , 
Modules\Weladee_Attendances\models\sync\weladee_position.py,W0718, broad-exception-caught,2,1, , , , , , , , 
Modules\Weladee_Attendances\models\grpcproto\job_pb2_grpc.py,C0301, line-too-long,1,1, , , , , , , , 
Modules\Weladee_Attendances\models\grpcproto\skill_pb2.py,C0301, line-too-long,1,1, , , , , , , , 
Modules\Weladee_Attendances_timesheet\models\sync\weladee_customer.py,W0718, broad-exception-caught,1,1, , , , , , , , 
Modules\Weladee_Attendances_approval\models\sync\weladee_approvals_type.py,R0915, too-many-statements,1,1, , , , , , , , 
Modules\Weladee_Attendances\grpcproto\job_pb2.py,C0301, line-too-long,2,1, , , , , , , , 
Modules\Weladee_Attendances_attendance\models\weladee_attendance.py,C0301, line-too-long,1,1, , , , , , , , 
Modules\Weladee_Attendances_expense\models\sync\weladee_expense.py,W0718, broad-exception-caught,2,1, , , , , , , , 
