path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
src\Analysis\ui\data\action_def.py,C0301, line-too-long,1,1, , , , , , , , 
src\JobPanel\ui\imports\workspaces_conf.py,R0915, too-many-statements,1,1, , , , , , , , 
src\gm_base\geomop_dialogs\analysis_dialog.py,R0915, too-many-statements,1,1, , , , , , , , 
src\gm_base\polygons\polygons.py,R0912, too-many-branches,1,1, , , , , , , , 
src\Analysis\pipeline\data_types_tree.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\Analysis\pipeline\output_actions.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\Analysis\pipeline\pipeline_processor.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\JobPanel\backend\service_base.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\ModelEditor\ui\mainwindow.py,R0915, too-many-statements,1,1, , , , , , , , 
src\Analysis\pipeline\flow_data_types.py,W0401, wildcard-import,1,1, , , , , , , , 
src\JobPanel\ui\data\preset_data.py,W0107,unnecessary-pass,2,1, , , , , , , , 
src\gm_base\geometry_files\format_last.py,C0301, line-too-long,2,1, , , , , , , , 
src\LayerEditor\ui\gitems\init_area.py,C0301, line-too-long,1,1, , , , , , , , 
src\LayerEditor\ui\panels\shpfiles.py,W0301, unnecessary-semicolon,2,1, , , , , , , , 
src\gm_base\model_data\autoconversion.py,R0915, too-many-statements,2,1, , , , , , , , 
src\gm_base\geomop_analysis\analysis.py,R0912, too-many-branches,1,1, , , , , , , , 
src\Analysis\client_pipeline\parametrized_actions_preparation.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\Analysis\pipeline\workflow_actions.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\ModelEditor\ui\dialogs\new_file_dialog.py,C0301, line-too-long,2,1, , , , , , , , 
src\LayerEditor\ui\data\diagram_structures.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\gm_base\geomop_dialogs\error_dialog.py,C0301, line-too-long,1,1, , , , , , , , 
src\gm_base\icon.py,C0301, line-too-long,1,1, , , , , , , , 
src\gm_base\json_data.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\LayerEditor\ui\data\selection.py,R0912, too-many-branches,1,1, , , , , , , , 
src\LayerEditor\ui\panels\surfaces.py,R0912, too-many-branches,1,1, , , , , , , , 
src\JobPanel\ui\dialogs\dialogs.py,R0915, too-many-statements,1,1, , , , , , , , 
src\JobPanel\ui\imports\ie_presets.py,C0301, line-too-long,1,1, , , , , , , , 
src\LayerEditor\ui\panels\diagram.py,R0912, too-many-branches,2,1, , , , , , , , 
src\LayerEditor\ui\data\region_structures.py,R0915, too-many-statements,1,1, , , , , , , , 
src\Analysis\pipeline\action_types.py,C0302, too-many-lines,1,1, , , , , , , , 
src\ModelEditor\ui\panels\yaml_editor.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
src\gm_base\polygons\decomp.py,W0104, pointless-statement,1,1, , , , , , , , 
src\LayerEditor\ui\data\le_serializer.py,R0915, too-many-statements,2,1, , , , , , , , 
src\LayerEditor\ui\panels\regions.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\Analysis\pipeline\generator_actions.py,R0912, too-many-branches,1,1, , , , , , , , 
src\gm_base\geometry_files\format_0_5_5.py,C0301, line-too-long,2,1, , , , , , , , 
src\gm_base\polygons\aabb_lookup.py,C0301, line-too-long,1,1, , , , , , , , 
src\JobPanel\ui\dialogs\env_dialog.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\LayerEditor\ui\data\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\LayerEditor\ui\gitems\line.py,C0301, line-too-long,2,1, , , , , , , , 
src\ModelEditor\ui\panels\info_panel.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\gm_base\polygons\point.py,C0301, line-too-long,2,1, , , , , , , , 
src\gm_base\polygons\segment.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\ModelEditor\helpers\subyaml\change_analyzer.py,R0915, too-many-statements,1,1, , , , , , , , 
src\gm_base\flow_util\yaml_support.py,C0301, line-too-long,1,1, , , , , , , , 
src\gm_base\polygons\polygon.py,C0325, superfluous-parens,2,1, , , , , , , , 
src\LayerEditor\ui\data\shp_structures.py,R0912, too-many-branches,1,1, , , , , , , , 
src\ModelEditor\model_editor.py,C0301, line-too-long,1,1, , , , , , , , 
src\JobPanel\backend\json_data.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\LayerEditor\ui\menus\layers.py,R0912, too-many-branches,1,1, , , , , , , , 
src\JobPanel\backend\async_repeater.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\JobPanel\backend\config_builder.py,W0401, wildcard-import,1,1, , , , , , , , 
src\LayerEditor\leconfig\leconfig.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\LayerEditor\ui\dialogs\layers\layers_helpers.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\JobPanel\ui\dialogs\confirm_dialog.py,C0301, line-too-long,1,1, , , , , , , , 
src\LayerEditor\bem\bem.py,C0325, superfluous-parens,2,1, , , , , , , , 
src\ModelEditor\data\yaml\transformator.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\LayerEditor\ui\panels\layers.py,C0325, superfluous-parens,2,1, , , , , , , , 
src\ModelEditor\ist\info_text_generator.py,R0912, too-many-branches,2,1, , , , , , , , 
src\ModelEditor\ist\formatters\markdown2html.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\gm_base\geomop_util\serializable.py,R0912, too-many-branches,2,1, , , , , , , , 
src\Analysis\client_pipeline\mj_preparation.py,W0401, wildcard-import,2,1, , , , , , , , 
src\Analysis\pipeline\convertors.py,W0401, wildcard-import,2,1, , , , , , , , 
src\JobPanel\ui\dialogs\ssh_dialog.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\LayerEditor\ui\menus\edit.py,R0912, too-many-branches,2,1, , , , , , , , 
src\gm_base\geometry_files\format_0_4_0.py,W0401, wildcard-import,1,1, , , , , , , , 
src\gm_base\model_data\import_json.py,C0301, line-too-long,1,1, , , , , , , , 
src\ModelEditor\helpers\subyaml\structure_analyzer.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
src\Analysis\pipeline\calibration_slsqp.py,R0915, too-many-statements,1,1, , , , , , , , 
src\Analysis\pipeline_tool\pipeline_tool.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\LayerEditor\ui\dialogs\LE_help.py,C0301, line-too-long,1,1, , , , , , , , 
src\LayerEditor\ui\mainwindow.py,R0915, too-many-statements,1,1, , , , , , , , 
src\JobPanel\services\delegator_service.py,C0301, line-too-long,1,1, , , , , , , , 
src\gm_base\polygons\merge.py,R0912, too-many-branches,1,1, , , , , , , , 
src\Analysis\pipeline\generic_tree.py,R0915, too-many-statements,1,1, , , , , , , , 
src\Analysis\pipeline\wrapper_actions.py,R0915, too-many-statements,1,1, , , , , , , , 
src\gm_base\exec_with_limit.py,C0301, line-too-long,2,1, , , , , , , , 
src\LayerEditor\ui\data\history.py,C0302, too-many-lines,1,1, , , , , , , , 
src\Analysis\pipeline\calibration_lbfgsb.py,R0915, too-many-statements,1,1, , , , , , , , 
src\LayerEditor\ui\dialogs\make_mesh.py,C0301, line-too-long,1,1, , , , , , , , 
src\Analysis\pipeline\connector_actions.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\JobPanel\ui\panels\overview.py,R0912, too-many-branches,1,1, , , , , , , , 
src\JobPanel\backend\connection.py,C0302, too-many-lines,1,1, , , , , , , , 
src\gm_base\geomop_analysis\yaml_support.py,R0915, too-many-statements,1,1, , , , , , , , 
src\JobPanel\backend\service_proxy.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
src\LayerEditor\ui\dialogs\layers\split_layer.py,C0301, line-too-long,1,1, , , , , , , , 
src\JobPanel\services\job_service.py,C0301, line-too-long,2,1, , , , , , , , 
src\LayerEditor\ui\dialogs\layers\append_layer.py,C0301, line-too-long,1,1, , , , , , , , 
src\Analysis\client_pipeline\identical_list_creator.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\Analysis\ui\gitems\connection.py,W0301, unnecessary-semicolon,1,1, , , , , , , , 
src\JobPanel\backend\service_frontend.py,R0912, too-many-branches,1,1, , , , , , , , 
src\LayerEditor\ui\dialogs\regions\add_region.py,C0301, line-too-long,1,1, , , , , , , , 
src\ModelEditor\helpers\subyaml\structure_changer.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\Analysis\ui\panels\diagram.py,R0912, too-many-branches,1,1, , , , , , , , 
src\JobPanel\ui\panels\tabs.py,W0125,using-constant-test,1,1, , , , , , , , 
src\ModelEditor\ui\dialogs\find_replace_dialog.py,R0915, too-many-statements,1,1, , , , , , , , 
src\JobPanel\ui\dialogs\multijob_dialog.py,C0302, too-many-lines,1,1, , , , , , , , 
