path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
clouddq\main.py,R0915, too-many-statements,1,1, , , , , , , , 
clouddq\classes\dataplex_entity_schema_field.py,C0301, line-too-long,2,1, , , , , , , , 
clouddq\classes\dq_rule_binding.py,C0301, line-too-long,2,1, , , , , , , , 
clouddq\integration\bigquery\bigquery_client.py,C0301, line-too-long,1,1, , , , , , , , 
clouddq\integration\dataplex\clouddq_dataplex.py,C0301, line-too-long,1,1, , , , , , , , 
clouddq\classes\rule_type.py,C0301, line-too-long,1,1, , , , , , , , 
clouddq\classes\dq_config_type.py,R0911, too-many-return-statements,2,1, , , , , , , , 
clouddq\integration\clouddq_pyspark_driver.py,W0718, broad-exception-caught,1,1, , , , , , , , 
clouddq\main.py,C0301, line-too-long,1,0, , , , , , , , 
clouddq\main.py,R0912, too-many-branches,1,0, , , , , , , , 
clouddq\runners\dbt\dbt_runner.py,C0301, line-too-long,3,0, , , , , , , , 
clouddq\classes\dq_configs_cache.py,C0301, line-too-long,4,0, , , , , , , , 
scripts\dataproc-workflow-composer\clouddq_composer_dataplex_task_job.py,C0301, line-too-long,18,0, , , , , , , , 
scripts\dataproc-workflow-composer\clouddq_composer_dataplex_task_job.py,W0104, pointless-statement,7,0, , , , , , , , 
tools\lint\pyupgrade_python.py,R0801, duplicate-code,34,0, , , , , , , , 
clouddq\classes\dq_rule.py,C0301, line-too-long,3,0, , , , , , , , 
clouddq\classes\dataplex_entity.py,C0301, line-too-long,4,0, , , , , , , , 
clouddq\integration\dataplex\dataplex_client.py,C0301, line-too-long,5,0, , , , , , , , 
