path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
Discord\ImprovedMimicDiscordBot2.py,R0915, too-many-statements,1,1, , , , , , , , 
Pi\GUI.py,C0302, too-many-lines,1,1, , , , , , , , 
Discord\VVcheck_discord.py,W0718, broad-exception-caught,1,1, , , , , , , , 
Pi\orbitGlobe.py,W0718, broad-exception-caught,1,1, , , , , , , , 
Pi\telemetry_ids.py,C0301, line-too-long,1,1, , , , , , , , 
Telemetry\DiscordBot.py,R0912, too-many-branches,1,1, , , , , , , , 
setup.py,W0718, broad-exception-caught,1,1, , , , , , , , 
Pi\TDRScheck.py,R0912, too-many-branches,1,1, , , , , , , , 
Discord\ImprovedMimicDiscordBot2.py,C0301, line-too-long,25,0, , , , , , , , 
Discord\ImprovedMimicDiscordBot2.py,R0912, too-many-branches,1,0, , , , , , , , 
Pi\iss_telemetry.py,C0301, line-too-long,5,0, , , , , , , , 
Pi\VVcheck.py,C0301, line-too-long,9,0, , , , , , , , 
Pi\GUI.py,C0301, line-too-long,271,0, , , , , , , , 
Pi\GUI.py,C0325, superfluous-parens,6,0, , , , , , , , 
Pi\GUI.py,R0912, too-many-branches,5,0, , , , , , , , 
Pi\GUI.py,R0915, too-many-statements,7,0, , , , , , , , 
Pi\GUI.py,R0916, too-many-boolean-expressions,1,0, , , , , , , , 
Pi\GUI.py,R1703, simplifiable-if-statement,1,0, , , , , , , , 
Pi\GUI.py,W0718, broad-exception-caught,30,0, , , , , , , , 
Pi\database_initialize.py,C0301, line-too-long,4,0, , , , , , , , 
Discord\VVcheck_discord.py,C0301, line-too-long,7,0, , , , , , , , 
Discord\MimicCrewBot.py,C0301, line-too-long,9,0, , , , , , , , 
Discord\iss_topo_events.py,C0301, line-too-long,5,0, , , , , , , , 
Discord\MimicVVBot.py,C0301, line-too-long,3,0, , , , , , , , 
Telemetry\DiscordBot.py,C0301, line-too-long,24,0, , , , , , , , 
Telemetry\DiscordBot.py,R0801, duplicate-code,32,0, , , , , , , , 
Telemetry\DiscordBot.py,R0915, too-many-statements,1,0, , , , , , , , 
setup.py,C0301, line-too-long,2,0, , , , , , , , 
Pi\TDRScheck.py,R0915, too-many-statements,2,0, , , , , , , , 
Pi\TDRScheck.py,W0104, pointless-statement,1,0, , , , , , , , 
Pi\TDRScheck.py,W0301, unnecessary-semicolon,3,0, , , , , , , , 
Pi\TDRScheck.py,W0718, broad-exception-caught,5,0, , , , , , , , 
