path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
src\accounts\shib_views.py,W0401, wildcard-import,1,1, , , , , , , , 
src\solutions\forms.py,R0912, too-many-branches,1,1, , , , , , , , 
src\checker\checker\TextChecker.py,R0912, too-many-branches,1,1, , , , , , , , 
src\checker\checker\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\checker\checker\CheckStyleChecker.py,W0401, wildcard-import,1,1, , , , , , , , 
src\checker\migrations\0007_auto_20170429_2022.py,C0301, line-too-long,2,1, , , , , , , , 
src\accounts\urls.py,W0401, wildcard-import,1,1, , , , , , , , 
src\accounts\views.py,R1702, too-many-nested-blocks,2,1, , , , , , , , 
src\solutions\models.py,R0912, too-many-branches,1,1, , , , , , , , 
src\accounts\migrations\0005_on_delete_set_null.py,C0301, line-too-long,1,1, , , , , , , , 
src\accounts\migrations\0007_custom_user_text.py,C0301, line-too-long,1,1, , , , , , , , 
src\accounts\models.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\utilities\deleting_file_field.py,C0301, line-too-long,1,1, , , , , , , , 
src\checker\migrations\0011_auto_20190327_1046.py,C0301, line-too-long,1,1, , , , , , , , 
src\checker\basemodels.py,R0912, too-many-branches,1,1, , , , , , , , 
src\checker\migrations\0006_auto_20170405_1332.py,C0301, line-too-long,1,1, , , , , , , , 
src\configuration\migrations\0012_settings_deadline_tolerance.py,C0301, line-too-long,1,1, , , , , , , , 
src\checker\migrations\0005_junitchecker.py,C0301, line-too-long,1,1, , , , , , , , 
src\solutions\migrations\0006_remove_tar_support.py,C0301, line-too-long,1,1, , , , , , , , 
src\checker\migrations\0005_auto_20170404_1810.py,C0301, line-too-long,2,1, , , , , , , , 
src\configuration\migrations\0007_settings_final_grades_options.py,C0301, line-too-long,2,1, , , , , , , , 
src\solutions\templatetags\highlight.py,R0915, too-many-statements,1,1, , , , , , , , 
src\tasks\views.py,W0301, unnecessary-semicolon,2,1, , , , , , , , 
src\checker\checker\DiffChecker.py,W0401, wildcard-import,1,1, , , , , , , , 
src\configuration\migrations\0011_settings_hide_solutions_of_expired_tasks.py,C0301, line-too-long,1,1, , , , , , , , 
src\checker\checker\KeepFileChecker.py,W0401, wildcard-import,2,1, , , , , , , , 
src\tasks\migrations\0008_on_delete_set_null.py,C0301, line-too-long,2,1, , , , , , , , 
src\utilities\isar_lexer.py,W0401, wildcard-import,1,1, , , , , , , , 
src\checker\models.py,W0401, wildcard-import,2,1, , , , , , , , 
src\configuration\migrations\0004_settings_jplag_setting.py,C0301, line-too-long,1,1, , , , , , , , 
src\tasks\migrations\0002_task_jplag_up_to_date.py,C0301, line-too-long,1,1, , , , , , , , 
src\utilities\file_operations.py,C0301, line-too-long,1,1, , , , , , , , 
src\accounts\migrations\0008_accept_disclaimer.py,C0301, line-too-long,1,1, , , , , , , , 
src\checker\checker\JUnitChecker.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\utilities\safeexec.py,R0915, too-many-statements,1,1, , , , , , , , 
src\checker\checker\ScriptChecker.py,C0325, superfluous-parens,2,1, , , , , , , , 
src\settings\templatetags\motd.py,C0301, line-too-long,1,1, , , , , , , , 
src\checker\migrations\0008_auto_20171012_1224.py,C0301, line-too-long,2,1, , , , , , , , 
src\checker\checker\RChecker.py,C0301, line-too-long,2,1, , , , , , , , 
src\configuration\migrations\0010_accept_disclaimer.py,C0301, line-too-long,1,1, , , , , , , , 
src\checker\migrations\0003_isabellechecker_trusted_theories.py,C0301, line-too-long,1,1, , , , , , , , 
src\checker\compiler\ScalaBuilder.py,C0301, line-too-long,1,1, , , , , , , , 
src\checker\migrations\0011_C_CPP_Unitchecker.py,C0301, line-too-long,2,1, , , , , , , , 
src\accounts\admin.py,C0325, superfluous-parens,2,1, , , , , , , , 
src\checker\compiler\CXXBuilder.py,C0301, line-too-long,1,1, , , , , , , , 
src\checker\checker\JavaChecker.py,W0401, wildcard-import,1,1, , , , , , , , 
src\checker\migrations\0002_auto_20151006_1416.py,C0301, line-too-long,1,1, , , , , , , , 
src\settings\defaults.py,R0915, too-many-statements,1,1, , , , , , , , 
src\solutions\migrations\0003_auto_20151120_1608.py,C0301, line-too-long,1,1, , , , , , , , 
src\checker\checker\IsabelleChecker.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\solutions\views.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
documentation\ExampleChecker.py,W0401, wildcard-import,1,1, , , , , , , , 
src\checker\compiler\Builder.py,R1719, simplifiable-if-expression,1,1, , , , , , , , 
src\solutions\migrations\0004_typo_corrections.py,C0301, line-too-long,2,1, , , , , , , , 
src\configuration\templatetags\chunks.py,C0301, line-too-long,1,1, , , , , , , , 
src\accounts\migrations\0006_limit_choices_to.py,C0301, line-too-long,1,1, , , , , , , , 
src\checker\checker\CUnitChecker_v2.py,R0915, too-many-statements,1,1, , , , , , , , 
src\accounts\middleware.py,C0301, line-too-long,1,1, , , , , , , , 
src\checker\checker\CreateFileChecker.py,W0401, wildcard-import,2,1, , , , , , , , 
src\checker\checker\LineCounter.py,R0915, too-many-statements,1,1, , , , , , , , 
src\tasks\migrations\0007_auto_20190408_1427.py,C0301, line-too-long,2,1, , , , , , , , 
src\solutions\migrations\0005_auto_20190408_1427.py,C0301, line-too-long,1,1, , , , , , , , 
src\tasks\migrations\0004_task_warning_threshold.py,C0301, line-too-long,1,1, , , , , , , , 
src\accounts\migrations\0004_typo_corrections.py,C0301, line-too-long,1,1, , , , , , , , 
src\utilities\management\commands\makesuperuser.py,C0301, line-too-long,1,1, , , , , , , , 
src\tasks\models.py,R0915, too-many-statements,1,1, , , , , , , , 
src\utilities\management\commands\delete_unactivated_users.py,C0301, line-too-long,2,1, , , , , , , , 
src\checker\checker\DejaGnu.py,W0401, wildcard-import,1,1, , , , , , , , 
src\tasks\migrations\0006_typo_corrections.py,C0301, line-too-long,2,1, , , , , , , , 
src\checker\checker\AnonymityChecker.py,C0301, line-too-long,1,1, , , , , , , , 
src\configuration\migrations\0013_settings_tutors_can_edit_solutions.py,C0301, line-too-long,1,1, , , , , , , , 
src\accounts\shib_views.py,C0301, line-too-long,4,0, , , , , , , , 
src\accounts\shib_views.py,R0912, too-many-branches,1,0, , , , , , , , 
src\solutions\forms.py,C0301, line-too-long,10,0, , , , , , , , 
src\checker\checker\TextChecker.py,C0301, line-too-long,7,0, , , , , , , , 
src\checker\checker\TextChecker.py,R0915, too-many-statements,1,0, , , , , , , , 
src\checker\checker\TextChecker.py,R1702, too-many-nested-blocks,1,0, , , , , , , , 
src\tasks\admin.py,C0301, line-too-long,28,0, , , , , , , , 
src\utilities\management\commands\update_model_graph.py,C0301, line-too-long,15,0, , , , , , , , 
src\checker\checker\CheckStyleChecker.py,C0301, line-too-long,5,0, , , , , , , , 
src\checker\migrations\0005_C_CPP_Infrastructur_2018.py,C0301, line-too-long,46,0, , , , , , , , 
src\accounts\urls.py,C0301, line-too-long,9,0, , , , , , , , 
src\accounts\views.py,C0301, line-too-long,24,0, , , , , , , , 
src\accounts\views.py,W0706, try-except-raise,1,0, , , , , , , , 
src\solutions\models.py,C0301, line-too-long,37,0, , , , , , , , 
src\solutions\models.py,C0325, superfluous-parens,1,0, , , , , , , , 
src\solutions\models.py,R0915, too-many-statements,1,0, , , , , , , , 
src\accounts\models.py,C0301, line-too-long,23,0, , , , , , , , 
src\tasks\migrations\0006_Task_dyamic_upload_waiting_time.py,C0301, line-too-long,3,0, , , , , , , , 
src\checker\migrations\0010_reactivateDiffChecker.py,C0301, line-too-long,10,0, , , , , , , , 
src\checker\basemodels.py,C0301, line-too-long,23,0, , , , , , , , 
src\configuration\migrations\0008_typo_corrections.py,C0301, line-too-long,10,0, , , , , , , , 
src\solutions\admin.py,C0301, line-too-long,30,0, , , , , , , , 
src\taskstatistics\views.py,C0301, line-too-long,30,0, , , , , , , , 
src\checker\compiler\JavaBuilder.py,C0301, line-too-long,5,0, , , , , , , , 
src\solutions\templatetags\highlight.py,C0301, line-too-long,6,0, , , , , , , , 
src\solutions\templatetags\highlight.py,R0912, too-many-branches,1,0, , , , , , , , 
src\tasks\views.py,C0301, line-too-long,5,0, , , , , , , , 
src\tasks\views.py,W0718, broad-exception-caught,1,0, , , , , , , , 
src\checker\migrations\0004_textchecker_and_scalabuilder.py,C0301, line-too-long,12,0, , , , , , , , 
src\checker\checker\DiffChecker.py,C0301, line-too-long,7,0, , , , , , , , 
src\configuration\migrations\0009_auto_20190408_1427.py,C0301, line-too-long,17,0, , , , , , , , 
src\urls.py,C0301, line-too-long,31,0, , , , , , , , 
src\checker\checker\KeepFileChecker.py,C0301, line-too-long,1,0, , , , , , , , 
src\checker\migrations\0013_mergeKITPraktomat2020_into_C_CPP_CUnit_CppUnit_branch.py,C0301, line-too-long,19,0, , , , , , , , 
src\utilities\views.py,C0301, line-too-long,3,0, , , , , , , , 
src\configuration\migrations\0001_initial.py,C0301, line-too-long,15,0, , , , , , , , 
src\checker\compiler\CLinker.py,C0301, line-too-long,6,0, , , , , , , , 
src\utilities\isar_lexer.py,C0301, line-too-long,1,0, , , , , , , , 
src\utilities\file_operations.py,C0325, superfluous-parens,4,0, , , , , , , , 
src\accounts\migrations\0001_initial.py,C0301, line-too-long,9,0, , , , , , , , 
src\checker\checker\JUnitChecker.py,C0301, line-too-long,17,0, , , , , , , , 
src\checker\checker\JUnitChecker.py,W0401, wildcard-import,1,0, , , , , , , , 
src\utilities\safeexec.py,C0301, line-too-long,4,0, , , , , , , , 
src\utilities\safeexec.py,R0912, too-many-branches,1,0, , , , , , , , 
src\utilities\safeexec.py,W0401, wildcard-import,1,0, , , , , , , , 
src\checker\checker\ScriptChecker.py,C0301, line-too-long,9,0, , , , , , , , 
src\checker\checker\ScriptChecker.py,W0401, wildcard-import,1,0, , , , , , , , 
src\taskstatistics\models.py,C0301, line-too-long,21,0, , , , , , , , 
src\checker\compiler\HaskellBuilder.py,C0301, line-too-long,3,0, , , , , , , , 
src\checker\checker\RChecker.py,W0401, wildcard-import,1,0, , , , , , , , 
src\settings\devel.py,C0301, line-too-long,3,0, , , , , , , , 
src\taskstatistics\migrations\0001_initial_TaskStatisticsDBview.py,C0301, line-too-long,16,0, , , , , , , , 
src\configuration\models.py,C0301, line-too-long,11,0, , , , , , , , 
src\solutions\migrations\0001_initial.py,C0301, line-too-long,11,0, , , , , , , , 
src\checker\migrations\0012_auto_20190408_1427.py,C0301, line-too-long,40,0, , , , , , , , 
src\tasks\migrations\0001_initial.py,C0301, line-too-long,11,0, , , , , , , , 
